country_iso3,sector,gdp_share,employment_share,trade_share,confidence,presence_status,evidence_source,note,year_used
AGO,agriculture,0.081524,,0.006109,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 3 OECD ISIC sectors; gross_output=15,498 USD m",2022
AGO,tourism,0.017792,,0.001394,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=3,325 USD m",2022
AGO,government,0.111887,,0.007197,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=15,220 USD m",2022
ARE,semiconductors,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
ARE,automotive,0.004076,,0.006044,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=7,136 USD m",2022
ARE,electronics,0.015688,,0.018928,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=19,679 USD m",2022
ARE,aerospace,0.001859,,0.002783,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=2,994 USD m",2022
ARE,shipping,0.015355,,0.026940,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=17,309 USD m",2022
ARE,energy,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
ARE,consumer_goods,0.150724,,0.149882,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 11 OECD ISIC sectors; gross_output=149,877 USD m",2022
ARE,banking,0.033073,,0.034221,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=29,101 USD m",2022
ARE,insurance,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
ARE,capital_markets,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
ARE,oil,0.270040,,0.363986,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=223,594 USD m",2022
ARE,gas,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
ARE,utilities,0.048569,,0.006013,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=35,446 USD m",2022
ARE,aviation,0.006061,,0.029084,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=13,265 USD m",2022
ARE,ports,0.009116,,0.009448,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=7,057 USD m",2022
ARE,telecommunications,0.039841,,0.041265,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 3 OECD ISIC sectors; gross_output=37,449 USD m",2022
ARE,agriculture,0.011334,,0.008276,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 3 OECD ISIC sectors; gross_output=8,666 USD m",2022
ARE,tourism,0.018575,,0.062376,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=31,499 USD m",2022
ARE,government,0.082360,,0.010937,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=58,329 USD m",2022
ARG,semiconductors,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
ARG,automotive,0.012291,,0.057184,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=26,022 USD m",2022
ARG,electronics,0.004786,,0.010702,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=9,261 USD m",2022
ARG,aerospace,0.000787,,0.005229,5,DATA_PRESENT,OECD_ICIO,Aggregated from 1 OECD ISIC sectors; gross_output=915 USD m,2022
ARG,shipping,0.019549,,0.031427,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=30,485 USD m",2022
ARG,energy,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
ARG,consumer_goods,0.339736,,0.452547,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 11 OECD ISIC sectors; gross_output=376,356 USD m",2022
ARG,banking,0.027828,,0.006278,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=27,833 USD m",2022
ARG,insurance,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
ARG,capital_markets,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
ARG,oil,0.026666,,0.066433,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=47,987 USD m",2022
ARG,gas,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
ARG,utilities,0.009388,,0.020144,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=21,663 USD m",2022
ARG,aviation,0.003328,,0.008998,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=6,972 USD m",2022
ARG,ports,0.010975,,0.015760,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=11,318 USD m",2022
ARG,telecommunications,0.033379,,0.037643,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 3 OECD ISIC sectors; gross_output=38,455 USD m",2022
ARG,agriculture,0.075641,,0.132181,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 3 OECD ISIC sectors; gross_output=76,879 USD m",2022
ARG,tourism,0.020448,,0.017138,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=28,800 USD m",2022
ARG,government,0.135110,,0.014610,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=96,300 USD m",2022
AUS,semiconductors,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
AUS,automotive,0.002227,,0.006661,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=10,356 USD m",2022
AUS,electronics,0.004659,,0.009870,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=14,937 USD m",2022
AUS,aerospace,0.001357,,0.004811,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=7,239 USD m",2022
AUS,shipping,0.020168,,0.020886,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=74,542 USD m",2022
AUS,energy,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
AUS,consumer_goods,0.129080,,0.170254,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 11 OECD ISIC sectors; gross_output=467,353 USD m",2022
AUS,banking,0.073535,,0.012945,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=198,024 USD m",2022
AUS,insurance,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
AUS,capital_markets,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
AUS,oil,0.043841,,0.133453,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=100,549 USD m",2022
AUS,gas,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
AUS,utilities,0.019921,,0.011292,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=98,457 USD m",2022
AUS,aviation,0.004655,,0.011321,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=21,713 USD m",2022
AUS,ports,0.017966,,0.009887,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=62,658 USD m",2022
AUS,telecommunications,0.040285,,0.023107,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 3 OECD ISIC sectors; gross_output=146,265 USD m",2022
AUS,agriculture,0.027454,,0.040018,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 3 OECD ISIC sectors; gross_output=98,238 USD m",2022
AUS,tourism,0.023887,,0.012290,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=78,743 USD m",2022
AUS,government,0.099608,,0.025523,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=263,067 USD m",2022
AUT,semiconductors,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
AUT,automotive,0.010738,,0.056478,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=18,867 USD m",2022
AUT,electronics,0.026228,,0.079201,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=30,393 USD m",2022
AUT,aerospace,0.003106,,0.014887,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=4,699 USD m",2022
AUT,shipping,0.026940,,0.038446,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=22,575 USD m",2022
AUT,energy,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
AUT,consumer_goods,0.234396,,0.392236,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 11 OECD ISIC sectors; gross_output=253,311 USD m",2022
AUT,banking,0.047459,,0.018822,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=35,847 USD m",2022
AUT,insurance,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
AUT,capital_markets,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
AUT,oil,0.004440,,0.021375,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=9,751 USD m",2022
AUT,gas,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
AUT,utilities,0.030059,,0.052861,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=84,407 USD m",2022
AUT,aviation,0.002406,,0.009985,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=4,384 USD m",2022
AUT,ports,0.021307,,0.015964,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=15,604 USD m",2022
AUT,telecommunications,0.039301,,0.037333,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 3 OECD ISIC sectors; gross_output=35,186 USD m",2022
AUT,agriculture,0.015397,,0.011147,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 3 OECD ISIC sectors; gross_output=14,760 USD m",2022
AUT,tourism,0.035054,,0.015274,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=29,893 USD m",2022
AUT,government,0.101837,,0.012013,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=62,125 USD m",2022
BEL,semiconductors,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
BEL,automotive,0.004590,,0.029779,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=17,077 USD m",2022
BEL,electronics,0.005265,,0.014103,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=8,835 USD m",2022
BEL,aerospace,0.001234,,0.002203,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=2,114 USD m",2022
BEL,shipping,0.021207,,0.033463,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=30,111 USD m",2022
BEL,energy,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
BEL,consumer_goods,0.225690,,0.403718,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 11 OECD ISIC sectors; gross_output=339,003 USD m",2022
BEL,banking,0.058002,,0.047637,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=72,657 USD m",2022
BEL,insurance,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
BEL,capital_markets,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
BEL,oil,0.004189,,0.062858,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=39,930 USD m",2022
BEL,gas,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
BEL,utilities,0.027531,,0.013703,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=42,008 USD m",2022
BEL,aviation,0.000789,,0.006158,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=6,006 USD m",2022
BEL,ports,0.027752,,0.038306,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=41,789 USD m",2022
BEL,telecommunications,0.043263,,0.046132,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 3 OECD ISIC sectors; gross_output=53,477 USD m",2022
BEL,agriculture,0.007730,,0.012465,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 3 OECD ISIC sectors; gross_output=14,986 USD m",2022
BEL,tourism,0.017393,,0.008893,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=24,069 USD m",2022
BEL,government,0.141462,,0.013983,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=93,792 USD m",2022
BGD,semiconductors,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
BGD,automotive,0.000193,,0.000309,5,DATA_PRESENT,OECD_ICIO,Aggregated from 1 OECD ISIC sectors; gross_output=237 USD m,2022
BGD,electronics,0.004059,,0.005592,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=3,966 USD m",2022
BGD,aerospace,0.001242,,0.003406,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=1,412 USD m",2022
BGD,shipping,0.037976,,0.044242,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=30,685 USD m",2022
BGD,energy,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
BGD,consumer_goods,0.318694,,0.649200,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 11 OECD ISIC sectors; gross_output=261,817 USD m",2022
BGD,banking,0.038740,,0.009620,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=23,079 USD m",2022
BGD,insurance,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
BGD,capital_markets,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
BGD,oil,0.011274,,0.002732,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=6,739 USD m",2022
BGD,gas,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
BGD,utilities,0.034695,,0.008040,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=28,602 USD m",2022
BGD,aviation,0.006898,,0.024878,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=10,464 USD m",2022
BGD,ports,0.009727,,0.008066,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=7,274 USD m",2022
BGD,telecommunications,0.035258,,0.020492,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 3 OECD ISIC sectors; gross_output=24,189 USD m",2022
BGD,agriculture,0.121603,,0.065027,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 3 OECD ISIC sectors; gross_output=89,359 USD m",2022
BGD,tourism,0.025072,,0.008357,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=18,163 USD m",2022
BGD,government,0.064654,,0.004302,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=32,772 USD m",2022
BGR,semiconductors,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
BGR,automotive,0.005542,,0.025391,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=2,327 USD m",2022
BGR,electronics,0.012198,,0.054325,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=3,947 USD m",2022
BGR,aerospace,0.000720,,0.007272,5,DATA_PRESENT,OECD_ICIO,Aggregated from 1 OECD ISIC sectors; gross_output=980 USD m,2022
BGR,shipping,0.030780,,0.042023,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 2 OECD ISIC sectors; gross_output=7,994 USD m",2022
BGR,energy,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
BGR,consumer_goods,0.239647,,0.404568,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 11 OECD ISIC sectors; gross_output=52,382 USD m",2022
BGR,banking,0.065544,,0.015913,5,DATA_PRESENT,OECD_ICIO,"Aggregated from 1 OECD ISIC sectors; gross_output=7,237 USD m",2022
BGR,insurance,,,,,MISSING_OECD_HAS_NO_SOURCE,OECD_ICIO_DOES_NOT_SEPARATE_THIS_SECTOR,OECD ICIO has no clean line item for this sector. See OECD_ICIO_SCHEMA_AUDIT.md for the bundling explanation. Requires supplementary source (SIA / EIA / ECB) — NOT in repo.,2022
