country_iso3,sector,value_added_share,employment_share,confidence,presence_status,evidence_source,note,year_used
AUT,agriculture,0.014025,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
AUT,tourism,0.051583,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
AUT,government,0.105898,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,semiconductors,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
BEL,automotive,0.007938,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,electronics,0.007169,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,aerospace,0.002170,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,shipping,0.020546,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,energy,,,,MISSING_NO_DATA,WIOD_2014,Country in WIOD but no VA for this GEDS sector,2014
BEL,consumer_goods,0.242070,,4,DATA_PRESENT,WIOD_2014,Aggregated from 17 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,banking,0.040047,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,insurance,0.011724,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,capital_markets,0.009972,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,oil,0.003322,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,gas,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
BEL,utilities,0.026465,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,aviation,0.001155,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,ports,0.026824,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,telecommunications,0.047284,,4,DATA_PRESENT,WIOD_2014,Aggregated from 5 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,agriculture,0.007026,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,tourism,0.018864,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BEL,government,0.150547,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,semiconductors,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
BGR,automotive,0.005006,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,electronics,0.011049,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,aerospace,0.001644,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,shipping,0.039741,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,energy,,,,MISSING_NO_DATA,WIOD_2014,Country in WIOD but no VA for this GEDS sector,2014
BGR,consumer_goods,0.266142,,4,DATA_PRESENT,WIOD_2014,Aggregated from 17 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,banking,0.057924,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,insurance,0.010572,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,capital_markets,0.003684,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,oil,0.022082,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,gas,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
BGR,utilities,0.048951,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,aviation,0.002822,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,ports,0.016276,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,telecommunications,0.058979,,4,DATA_PRESENT,WIOD_2014,Aggregated from 5 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,agriculture,0.052649,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,tourism,0.023465,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BGR,government,0.112696,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,semiconductors,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
BRA,automotive,0.012769,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,electronics,0.007568,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,aerospace,0.002474,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,shipping,0.029622,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,energy,,,,MISSING_NO_DATA,WIOD_2014,Country in WIOD but no VA for this GEDS sector,2014
BRA,consumer_goods,0.229512,,4,DATA_PRESENT,WIOD_2014,Aggregated from 17 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,banking,0.065402,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,insurance,0.000000,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,capital_markets,0.000000,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,oil,0.031800,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,gas,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
BRA,utilities,0.018899,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,aviation,0.001828,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,ports,0.012749,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,telecommunications,0.034317,,4,DATA_PRESENT,WIOD_2014,Aggregated from 5 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,agriculture,0.052244,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,tourism,0.023480,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
BRA,government,0.160450,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,semiconductors,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
CAN,automotive,0.008429,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,electronics,0.007683,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,aerospace,0.005386,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,shipping,0.025055,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,energy,,,,MISSING_NO_DATA,WIOD_2014,Country in WIOD but no VA for this GEDS sector,2014
CAN,consumer_goods,0.189249,,4,DATA_PRESENT,WIOD_2014,Aggregated from 17 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,banking,0.037927,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,insurance,0.015845,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,capital_markets,0.000000,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,oil,0.089155,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,gas,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
CAN,utilities,0.024328,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,aviation,0.003487,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,ports,0.007660,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,telecommunications,0.045889,,4,DATA_PRESENT,WIOD_2014,Aggregated from 5 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,agriculture,0.018096,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,tourism,0.020575,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CAN,government,0.143751,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,semiconductors,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
CHE,automotive,0.001233,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,electronics,0.048017,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,aerospace,0.003226,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,shipping,0.024221,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,energy,,,,MISSING_NO_DATA,WIOD_2014,Country in WIOD but no VA for this GEDS sector,2014
CHE,consumer_goods,0.281985,,4,DATA_PRESENT,WIOD_2014,Aggregated from 17 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,banking,0.055619,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,insurance,0.042869,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,capital_markets,0.000000,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,oil,0.002021,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,gas,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
CHE,utilities,0.016111,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,aviation,0.003472,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,ports,0.008070,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,telecommunications,0.045662,,4,DATA_PRESENT,WIOD_2014,Aggregated from 5 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,agriculture,0.007516,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,tourism,0.017685,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHE,government,0.113435,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,semiconductors,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
CHN,automotive,0.022063,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,electronics,0.041600,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,aerospace,0.007926,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,shipping,0.035622,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,energy,,,,MISSING_NO_DATA,WIOD_2014,Country in WIOD but no VA for this GEDS sector,2014
CHN,consumer_goods,0.311181,,4,DATA_PRESENT,WIOD_2014,Aggregated from 17 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,banking,0.056078,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,insurance,0.004587,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,capital_markets,0.000000,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,oil,0.065639,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,gas,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
CHN,utilities,0.022820,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,aviation,0.002286,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,ports,0.006262,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,telecommunications,0.028045,,4,DATA_PRESENT,WIOD_2014,Aggregated from 5 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,agriculture,0.095235,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,tourism,0.019449,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CHN,government,0.073751,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,semiconductors,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
CYP,automotive,0.000154,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,electronics,0.000682,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,aerospace,0.000037,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,shipping,0.041066,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,energy,,,,MISSING_NO_DATA,WIOD_2014,Country in WIOD but no VA for this GEDS sector,2014
CYP,consumer_goods,0.197075,,4,DATA_PRESENT,WIOD_2014,Aggregated from 17 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,banking,0.078197,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,insurance,0.005678,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,capital_markets,0.009849,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,oil,0.001076,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,gas,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
CYP,utilities,0.029005,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,aviation,0.000389,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,ports,0.024451,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,telecommunications,0.049942,,4,DATA_PRESENT,WIOD_2014,Aggregated from 5 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,agriculture,0.023304,,4,DATA_PRESENT,WIOD_2014,Aggregated from 3 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,tourism,0.065636,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CYP,government,0.164250,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CZE,semiconductors,,,,MISSING_WIOD_HAS_NO_SOURCE,WIOD_DOES_NOT_SEPARATE_THIS_SECTOR,C26 bundles semis; B+D35 bundles gas with oil/utilities,2014
CZE,automotive,0.048974,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CZE,electronics,0.036885,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CZE,aerospace,0.005453,,4,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CZE,shipping,0.030343,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CZE,energy,,,,MISSING_NO_DATA,WIOD_2014,Country in WIOD but no VA for this GEDS sector,2014
CZE,consumer_goods,0.275905,,4,DATA_PRESENT,WIOD_2014,Aggregated from 17 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CZE,banking,0.034782,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CZE,insurance,0.006703,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CZE,capital_markets,0.003564,,5,DATA_PRESENT,WIOD_2014,Aggregated from 1 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
CZE,oil,0.009846,,4,DATA_PRESENT,WIOD_2014,Aggregated from 2 NACE Rev.2 codes; employment_share NULL — SEA files not in repo,2014
