node_id,country_iso3,industry,kind,centrality,vulnerability,resilience,amplification,threshold,recovery_delay_weeks,inventory_weeks,pass_through,elasticity,labor_intensity,gdp_usd
ARG:consumer_goods,ARG,consumer_goods,country_industry,0.35,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,3500000000.0
ARG:government,ARG,government,country_industry,0.35,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,3500000000.0
ARG:telecommunications,ARG,telecommunications,country_industry,0.35,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,3500000000.0
ARG:tourism,ARG,tourism,country_industry,0.35,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,3500000000.0
ARG:utilities,ARG,utilities,country_industry,0.35,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,3500000000.0
AUS:agriculture,AUS,agriculture,country_industry,0.45,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,4500000000.0
AUS:aviation,AUS,aviation,country_industry,0.45,0.7,0.5,0.6,0.3,12,8,0.5,0.5,0.5,4500000000.0
AUS:banking,AUS,banking,country_industry,0.45,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,4500000000.0
AUS:capital_markets,AUS,capital_markets,country_industry,0.45,0.85,0.5,0.9,0.3,13,0,0.5,0.5,0.5,4500000000.0
AUS:consumer_goods,AUS,consumer_goods,country_industry,0.45,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,4500000000.0
AUS:energy,AUS,energy,country_industry,0.45,0.65,0.5,0.7,0.3,10,3,0.5,0.5,0.5,4500000000.0
AUS:gas,AUS,gas,country_industry,0.45,0.65,0.5,0.65,0.3,8,2,0.5,0.5,0.5,4500000000.0
AUS:government,AUS,government,country_industry,0.45,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,4500000000.0
AUS:insurance,AUS,insurance,country_industry,0.45,0.7,0.5,0.7,0.3,26,0,0.5,0.5,0.5,4500000000.0
AUS:telecommunications,AUS,telecommunications,country_industry,0.45,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,4500000000.0
AUS:tourism,AUS,tourism,country_industry,0.45,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,4500000000.0
AUS:utilities,AUS,utilities,country_industry,0.45,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,4500000000.0
BEL:agriculture,BEL,agriculture,country_industry,0.45,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,4500000000.0
BEL:banking,BEL,banking,country_industry,0.45,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,4500000000.0
BEL:consumer_goods,BEL,consumer_goods,country_industry,0.45,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,4500000000.0
BEL:government,BEL,government,country_industry,0.45,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,4500000000.0
BEL:ports,BEL,ports,country_industry,0.45,0.75,0.5,0.7,0.3,4,1,0.5,0.5,0.5,4500000000.0
BEL:shipping,BEL,shipping,country_industry,0.45,0.7,0.5,0.65,0.3,4,0,0.5,0.5,0.5,4500000000.0
BEL:telecommunications,BEL,telecommunications,country_industry,0.45,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,4500000000.0
BEL:tourism,BEL,tourism,country_industry,0.45,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,4500000000.0
BEL:utilities,BEL,utilities,country_industry,0.45,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,4500000000.0
BGD:agriculture,BGD,agriculture,country_industry,0.3,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,3000000000.0
BGD:banking,BGD,banking,country_industry,0.3,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,3000000000.0
BGD:consumer_goods,BGD,consumer_goods,country_industry,0.3,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,3000000000.0
BGD:government,BGD,government,country_industry,0.3,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,3000000000.0
BGD:telecommunications,BGD,telecommunications,country_industry,0.3,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,3000000000.0
BGD:tourism,BGD,tourism,country_industry,0.3,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,3000000000.0
BGD:utilities,BGD,utilities,country_industry,0.3,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,3000000000.0
BRA:aerospace,BRA,aerospace,country_industry,0.55,0.5,0.5,0.5,0.3,16,13,0.5,0.5,0.5,5500000000.0
BRA:agriculture,BRA,agriculture,country_industry,0.55,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,5500000000.0
BRA:automotive,BRA,automotive,country_industry,0.55,0.55,0.5,0.6,0.3,8,5,0.5,0.5,0.5,5500000000.0
BRA:aviation,BRA,aviation,country_industry,0.55,0.7,0.5,0.6,0.3,12,8,0.5,0.5,0.5,5500000000.0
BRA:banking,BRA,banking,country_industry,0.55,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,5500000000.0
BRA:consumer_goods,BRA,consumer_goods,country_industry,0.55,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,5500000000.0
BRA:energy,BRA,energy,country_industry,0.55,0.65,0.5,0.7,0.3,10,3,0.5,0.5,0.5,5500000000.0
BRA:government,BRA,government,country_industry,0.55,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,5500000000.0
BRA:oil,BRA,oil,country_industry,0.55,0.6,0.5,0.6,0.3,12,13,0.5,0.5,0.5,5500000000.0
BRA:ports,BRA,ports,country_industry,0.55,0.75,0.5,0.7,0.3,4,1,0.5,0.5,0.5,5500000000.0
BRA:telecommunications,BRA,telecommunications,country_industry,0.55,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,5500000000.0
BRA:tourism,BRA,tourism,country_industry,0.55,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,5500000000.0
BRA:utilities,BRA,utilities,country_industry,0.55,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,5500000000.0
CAN:aerospace,CAN,aerospace,country_industry,0.5,0.5,0.5,0.5,0.3,16,13,0.5,0.5,0.5,5000000000.0
CAN:agriculture,CAN,agriculture,country_industry,0.5,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,5000000000.0
CAN:automotive,CAN,automotive,country_industry,0.5,0.55,0.5,0.6,0.3,8,5,0.5,0.5,0.5,5000000000.0
CAN:aviation,CAN,aviation,country_industry,0.5,0.7,0.5,0.6,0.3,12,8,0.5,0.5,0.5,5000000000.0
CAN:banking,CAN,banking,country_industry,0.5,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,5000000000.0
CAN:capital_markets,CAN,capital_markets,country_industry,0.5,0.85,0.5,0.9,0.3,13,0,0.5,0.5,0.5,5000000000.0
CAN:consumer_goods,CAN,consumer_goods,country_industry,0.5,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,5000000000.0
CAN:energy,CAN,energy,country_industry,0.5,0.65,0.5,0.7,0.3,10,3,0.5,0.5,0.5,5000000000.0
CAN:gas,CAN,gas,country_industry,0.5,0.65,0.5,0.65,0.3,8,2,0.5,0.5,0.5,5000000000.0
CAN:government,CAN,government,country_industry,0.5,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,5000000000.0
CAN:insurance,CAN,insurance,country_industry,0.5,0.7,0.5,0.7,0.3,26,0,0.5,0.5,0.5,5000000000.0
CAN:oil,CAN,oil,country_industry,0.5,0.6,0.5,0.6,0.3,12,13,0.5,0.5,0.5,5000000000.0
CAN:telecommunications,CAN,telecommunications,country_industry,0.5,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,5000000000.0
CAN:tourism,CAN,tourism,country_industry,0.5,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,5000000000.0
CAN:utilities,CAN,utilities,country_industry,0.5,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,5000000000.0
CHE:agriculture,CHE,agriculture,country_industry,0.4,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,4000000000.0
CHE:banking,CHE,banking,country_industry,0.4,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,4000000000.0
CHE:capital_markets,CHE,capital_markets,country_industry,0.4,0.85,0.5,0.9,0.3,13,0,0.5,0.5,0.5,4000000000.0
CHE:consumer_goods,CHE,consumer_goods,country_industry,0.4,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,4000000000.0
CHE:government,CHE,government,country_industry,0.4,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,4000000000.0
CHE:insurance,CHE,insurance,country_industry,0.4,0.7,0.5,0.7,0.3,26,0,0.5,0.5,0.5,4000000000.0
CHE:telecommunications,CHE,telecommunications,country_industry,0.4,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,4000000000.0
CHE:tourism,CHE,tourism,country_industry,0.4,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,4000000000.0
CHE:utilities,CHE,utilities,country_industry,0.4,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,4000000000.0
CHN:aerospace,CHN,aerospace,country_industry,0.95,0.5,0.5,0.5,0.3,16,13,0.5,0.5,0.5,9500000000.0
CHN:agriculture,CHN,agriculture,country_industry,0.95,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,9500000000.0
CHN:automotive,CHN,automotive,country_industry,0.95,0.55,0.5,0.6,0.3,8,5,0.5,0.5,0.5,9500000000.0
CHN:aviation,CHN,aviation,country_industry,0.95,0.7,0.5,0.6,0.3,12,8,0.5,0.5,0.5,9500000000.0
CHN:banking,CHN,banking,country_industry,0.95,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,9500000000.0
CHN:capital_markets,CHN,capital_markets,country_industry,0.95,0.85,0.5,0.9,0.3,13,0,0.5,0.5,0.5,9500000000.0
CHN:consumer_goods,CHN,consumer_goods,country_industry,0.95,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,9500000000.0
CHN:electronics,CHN,electronics,country_industry,0.95,0.6,0.5,0.55,0.3,6,7,0.5,0.5,0.5,9500000000.0
CHN:energy,CHN,energy,country_industry,0.95,0.65,0.5,0.7,0.3,10,3,0.5,0.5,0.5,9500000000.0
CHN:gas,CHN,gas,country_industry,0.95,0.65,0.5,0.65,0.3,8,2,0.5,0.5,0.5,9500000000.0
CHN:government,CHN,government,country_industry,0.95,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,9500000000.0
CHN:insurance,CHN,insurance,country_industry,0.95,0.7,0.5,0.7,0.3,26,0,0.5,0.5,0.5,9500000000.0
CHN:ports,CHN,ports,country_industry,0.95,0.75,0.5,0.7,0.3,4,1,0.5,0.5,0.5,9500000000.0
CHN:semiconductors,CHN,semiconductors,country_industry,0.95,0.75,0.5,0.7,0.3,12,10,0.5,0.5,0.5,9500000000.0
CHN:shipping,CHN,shipping,country_industry,0.95,0.7,0.5,0.65,0.3,4,0,0.5,0.5,0.5,9500000000.0
CHN:telecommunications,CHN,telecommunications,country_industry,0.95,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,9500000000.0
CHN:tourism,CHN,tourism,country_industry,0.95,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,9500000000.0
CHN:utilities,CHN,utilities,country_industry,0.95,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,9500000000.0
DEU:aerospace,DEU,aerospace,country_industry,0.75,0.5,0.5,0.5,0.3,16,13,0.5,0.5,0.5,7500000000.0
DEU:agriculture,DEU,agriculture,country_industry,0.75,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,7500000000.0
DEU:automotive,DEU,automotive,country_industry,0.75,0.55,0.5,0.6,0.3,8,5,0.5,0.5,0.5,7500000000.0
DEU:aviation,DEU,aviation,country_industry,0.75,0.7,0.5,0.6,0.3,12,8,0.5,0.5,0.5,7500000000.0
DEU:banking,DEU,banking,country_industry,0.75,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,7500000000.0
DEU:capital_markets,DEU,capital_markets,country_industry,0.75,0.85,0.5,0.9,0.3,13,0,0.5,0.5,0.5,7500000000.0
DEU:consumer_goods,DEU,consumer_goods,country_industry,0.75,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,7500000000.0
DEU:electronics,DEU,electronics,country_industry,0.75,0.6,0.5,0.55,0.3,6,7,0.5,0.5,0.5,7500000000.0
DEU:gas,DEU,gas,country_industry,0.75,0.65,0.5,0.65,0.3,8,2,0.5,0.5,0.5,7500000000.0
DEU:government,DEU,government,country_industry,0.75,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,7500000000.0
DEU:insurance,DEU,insurance,country_industry,0.75,0.7,0.5,0.7,0.3,26,0,0.5,0.5,0.5,7500000000.0
DEU:ports,DEU,ports,country_industry,0.75,0.75,0.5,0.7,0.3,4,1,0.5,0.5,0.5,7500000000.0
DEU:semiconductors,DEU,semiconductors,country_industry,0.75,0.75,0.5,0.7,0.3,12,10,0.5,0.5,0.5,7500000000.0
DEU:shipping,DEU,shipping,country_industry,0.75,0.7,0.5,0.65,0.3,4,0,0.5,0.5,0.5,7500000000.0
DEU:telecommunications,DEU,telecommunications,country_industry,0.75,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,7500000000.0
DEU:tourism,DEU,tourism,country_industry,0.75,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,7500000000.0
DEU:utilities,DEU,utilities,country_industry,0.75,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,7500000000.0
EGY:agriculture,EGY,agriculture,country_industry,0.4,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,4000000000.0
EGY:banking,EGY,banking,country_industry,0.4,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,4000000000.0
EGY:consumer_goods,EGY,consumer_goods,country_industry,0.4,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,4000000000.0
EGY:gas,EGY,gas,country_industry,0.4,0.65,0.5,0.65,0.3,8,2,0.5,0.5,0.5,4000000000.0
EGY:government,EGY,government,country_industry,0.4,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,4000000000.0
EGY:ports,EGY,ports,country_industry,0.4,0.75,0.5,0.7,0.3,4,1,0.5,0.5,0.5,4000000000.0
EGY:shipping,EGY,shipping,country_industry,0.4,0.7,0.5,0.65,0.3,4,0,0.5,0.5,0.5,4000000000.0
EGY:telecommunications,EGY,telecommunications,country_industry,0.4,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,4000000000.0
EGY:tourism,EGY,tourism,country_industry,0.4,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,4000000000.0
EGY:utilities,EGY,utilities,country_industry,0.4,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,4000000000.0
ESP:aerospace,ESP,aerospace,country_industry,0.45,0.5,0.5,0.5,0.3,16,13,0.5,0.5,0.5,4500000000.0
ESP:agriculture,ESP,agriculture,country_industry,0.45,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,4500000000.0
ESP:automotive,ESP,automotive,country_industry,0.45,0.55,0.5,0.6,0.3,8,5,0.5,0.5,0.5,4500000000.0
ESP:aviation,ESP,aviation,country_industry,0.45,0.7,0.5,0.6,0.3,12,8,0.5,0.5,0.5,4500000000.0
ESP:banking,ESP,banking,country_industry,0.45,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,4500000000.0
ESP:consumer_goods,ESP,consumer_goods,country_industry,0.45,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,4500000000.0
ESP:government,ESP,government,country_industry,0.45,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,4500000000.0
ESP:ports,ESP,ports,country_industry,0.45,0.75,0.5,0.7,0.3,4,1,0.5,0.5,0.5,4500000000.0
ESP:telecommunications,ESP,telecommunications,country_industry,0.45,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,4500000000.0
ESP:tourism,ESP,tourism,country_industry,0.45,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,4500000000.0
ESP:utilities,ESP,utilities,country_industry,0.45,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,4500000000.0
ETH:agriculture,ETH,agriculture,country_industry,0.25,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,2500000000.0
ETH:banking,ETH,banking,country_industry,0.25,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,2500000000.0
ETH:consumer_goods,ETH,consumer_goods,country_industry,0.25,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,2500000000.0
ETH:government,ETH,government,country_industry,0.25,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,2500000000.0
ETH:telecommunications,ETH,telecommunications,country_industry,0.25,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,2500000000.0
ETH:tourism,ETH,tourism,country_industry,0.25,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,2500000000.0
ETH:utilities,ETH,utilities,country_industry,0.25,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,2500000000.0
FRA:aerospace,FRA,aerospace,country_industry,0.65,0.5,0.5,0.5,0.3,16,13,0.5,0.5,0.5,6500000000.0
FRA:agriculture,FRA,agriculture,country_industry,0.65,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,6500000000.0
FRA:automotive,FRA,automotive,country_industry,0.65,0.55,0.5,0.6,0.3,8,5,0.5,0.5,0.5,6500000000.0
FRA:aviation,FRA,aviation,country_industry,0.65,0.7,0.5,0.6,0.3,12,8,0.5,0.5,0.5,6500000000.0
FRA:banking,FRA,banking,country_industry,0.65,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,6500000000.0
FRA:capital_markets,FRA,capital_markets,country_industry,0.65,0.85,0.5,0.9,0.3,13,0,0.5,0.5,0.5,6500000000.0
FRA:consumer_goods,FRA,consumer_goods,country_industry,0.65,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,6500000000.0
FRA:government,FRA,government,country_industry,0.65,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,6500000000.0
FRA:insurance,FRA,insurance,country_industry,0.65,0.7,0.5,0.7,0.3,26,0,0.5,0.5,0.5,6500000000.0
FRA:telecommunications,FRA,telecommunications,country_industry,0.65,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,6500000000.0
FRA:tourism,FRA,tourism,country_industry,0.65,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,6500000000.0
FRA:utilities,FRA,utilities,country_industry,0.65,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,6500000000.0
GBR:aerospace,GBR,aerospace,country_industry,0.65,0.5,0.5,0.5,0.3,16,13,0.5,0.5,0.5,6500000000.0
GBR:agriculture,GBR,agriculture,country_industry,0.65,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,6500000000.0
GBR:automotive,GBR,automotive,country_industry,0.65,0.55,0.5,0.6,0.3,8,5,0.5,0.5,0.5,6500000000.0
GBR:aviation,GBR,aviation,country_industry,0.65,0.7,0.5,0.6,0.3,12,8,0.5,0.5,0.5,6500000000.0
GBR:banking,GBR,banking,country_industry,0.65,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,6500000000.0
GBR:capital_markets,GBR,capital_markets,country_industry,0.65,0.85,0.5,0.9,0.3,13,0,0.5,0.5,0.5,6500000000.0
GBR:consumer_goods,GBR,consumer_goods,country_industry,0.65,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,6500000000.0
GBR:government,GBR,government,country_industry,0.65,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,6500000000.0
GBR:insurance,GBR,insurance,country_industry,0.65,0.7,0.5,0.7,0.3,26,0,0.5,0.5,0.5,6500000000.0
GBR:shipping,GBR,shipping,country_industry,0.65,0.7,0.5,0.65,0.3,4,0,0.5,0.5,0.5,6500000000.0
GBR:telecommunications,GBR,telecommunications,country_industry,0.65,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,6500000000.0
GBR:tourism,GBR,tourism,country_industry,0.65,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,6500000000.0
GBR:utilities,GBR,utilities,country_industry,0.65,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,6500000000.0
GRC:agriculture,GRC,agriculture,country_industry,0.35,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,3500000000.0
GRC:banking,GRC,banking,country_industry,0.35,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,3500000000.0
GRC:consumer_goods,GRC,consumer_goods,country_industry,0.35,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,3500000000.0
GRC:government,GRC,government,country_industry,0.35,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,3500000000.0
GRC:ports,GRC,ports,country_industry,0.35,0.75,0.5,0.7,0.3,4,1,0.5,0.5,0.5,3500000000.0
GRC:shipping,GRC,shipping,country_industry,0.35,0.7,0.5,0.65,0.3,4,0,0.5,0.5,0.5,3500000000.0
GRC:telecommunications,GRC,telecommunications,country_industry,0.35,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,3500000000.0
GRC:tourism,GRC,tourism,country_industry,0.35,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,3500000000.0
GRC:utilities,GRC,utilities,country_industry,0.35,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,3500000000.0
HKG:agriculture,HKG,agriculture,country_industry,0.55,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,5500000000.0
HKG:aviation,HKG,aviation,country_industry,0.55,0.7,0.5,0.6,0.3,12,8,0.5,0.5,0.5,5500000000.0
HKG:banking,HKG,banking,country_industry,0.55,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,5500000000.0
HKG:capital_markets,HKG,capital_markets,country_industry,0.55,0.85,0.5,0.9,0.3,13,0,0.5,0.5,0.5,5500000000.0
HKG:consumer_goods,HKG,consumer_goods,country_industry,0.55,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,5500000000.0
HKG:electronics,HKG,electronics,country_industry,0.55,0.6,0.5,0.55,0.3,6,7,0.5,0.5,0.5,5500000000.0
HKG:government,HKG,government,country_industry,0.55,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,5500000000.0
HKG:insurance,HKG,insurance,country_industry,0.55,0.7,0.5,0.7,0.3,26,0,0.5,0.5,0.5,5500000000.0
HKG:ports,HKG,ports,country_industry,0.55,0.75,0.5,0.7,0.3,4,1,0.5,0.5,0.5,5500000000.0
HKG:shipping,HKG,shipping,country_industry,0.55,0.7,0.5,0.65,0.3,4,0,0.5,0.5,0.5,5500000000.0
HKG:telecommunications,HKG,telecommunications,country_industry,0.55,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,5500000000.0
HKG:tourism,HKG,tourism,country_industry,0.55,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,5500000000.0
HKG:utilities,HKG,utilities,country_industry,0.55,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,5500000000.0
IDN:agriculture,IDN,agriculture,country_industry,0.45,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,4500000000.0
IDN:banking,IDN,banking,country_industry,0.45,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,4500000000.0
IDN:consumer_goods,IDN,consumer_goods,country_industry,0.45,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,4500000000.0
IDN:government,IDN,government,country_industry,0.45,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,4500000000.0
IDN:telecommunications,IDN,telecommunications,country_industry,0.45,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,4500000000.0
IDN:tourism,IDN,tourism,country_industry,0.45,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,4500000000.0
IDN:utilities,IDN,utilities,country_industry,0.45,0.55,0.5,0.5,0.3,8,1,0.5,0.5,0.5,4500000000.0
IND:agriculture,IND,agriculture,country_industry,0.6,0.55,0.5,0.5,0.3,52,26,0.5,0.5,0.5,6000000000.0
IND:automotive,IND,automotive,country_industry,0.6,0.55,0.5,0.6,0.3,8,5,0.5,0.5,0.5,6000000000.0
IND:aviation,IND,aviation,country_industry,0.6,0.7,0.5,0.6,0.3,12,8,0.5,0.5,0.5,6000000000.0
IND:banking,IND,banking,country_industry,0.6,0.8,0.5,0.85,0.3,26,0,0.5,0.5,0.5,6000000000.0
IND:capital_markets,IND,capital_markets,country_industry,0.6,0.85,0.5,0.9,0.3,13,0,0.5,0.5,0.5,6000000000.0
IND:consumer_goods,IND,consumer_goods,country_industry,0.6,0.45,0.5,0.4,0.3,4,5,0.5,0.5,0.5,6000000000.0
IND:electronics,IND,electronics,country_industry,0.6,0.6,0.5,0.55,0.3,6,7,0.5,0.5,0.5,6000000000.0
IND:energy,IND,energy,country_industry,0.6,0.65,0.5,0.7,0.3,10,3,0.5,0.5,0.5,6000000000.0
IND:government,IND,government,country_industry,0.6,0.4,0.5,0.35,0.3,12,12,0.5,0.5,0.5,6000000000.0
IND:ports,IND,ports,country_industry,0.6,0.75,0.5,0.7,0.3,4,1,0.5,0.5,0.5,6000000000.0
IND:telecommunications,IND,telecommunications,country_industry,0.6,0.5,0.5,0.4,0.3,4,0,0.5,0.5,0.5,6000000000.0
IND:tourism,IND,tourism,country_industry,0.6,0.85,0.5,0.7,0.3,26,0,0.5,0.5,0.5,6000000000.0
