source,target,edge_type,industry,dependency_weight,flow_value_usd,substitution_difficulty,rerouting_capability,resilience_coefficient,recovery_delay_weeks,evidence_source
KOR:electronics,VNM:electronics,trade,electronics,0.382,6095151235.51,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8517&y=2019
JPN:automotive,THA:automotive,trade,automotive,0.3753,3198340530.56,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8704&y
CHN:automotive,JPN:automotive,trade,automotive,0.3707,3014538201.78,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8708&y=2019
CHN:electronics,CHN:electronics,trade,electronics,0.3535,26149528951.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8517&y
BRA:automotive,IND:automotive,trade,automotive,0.3447,22258735.45,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8704&y=2019
MEX:automotive,USA:automotive,trade,automotive,0.3192,90077348859.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8704&y
DEU:automotive,CHN:automotive,trade,automotive,0.3061,22474260405.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8704&y
DEU:automotive,JPN:automotive,trade,automotive,0.2969,6152524194.02,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8704&y
CHN:automotive,KOR:automotive,trade,automotive,0.2882,1214310031.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8708&y
VNM:electronics,KOR:electronics,trade,electronics,0.2851,6039964077.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8517&y
VNM:electronics,CHN:electronics,trade,electronics,0.2754,11742585932.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8517&y=2019
CHN:semiconductors,TWN:semiconductors,trade,semiconductors,0.2667,14969696258.41,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8542&y
DEU:electronics,CHN:electronics,trade,electronics,0.2649,208239378.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8528&y=2019
MYS:semiconductors,NLD:semiconductors,trade,semiconductors,0.2623,4236276433.34,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8542&y
JPN:automotive,CHN:automotive,trade,automotive,0.2457,17764303725.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8708&y
KOR:automotive,IND:automotive,trade,automotive,0.2115,886116892.13,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8708&y=2019
MEX:electronics,USA:electronics,trade,electronics,0.2071,44921891431.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8517&y
KOR:semiconductors,CHN:semiconductors,trade,semiconductors,0.1956,65035604256.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8542&y
CHN:semiconductors,JPN:semiconductors,trade,semiconductors,0.188,4412095549.06,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8542&y
CAN:automotive,USA:automotive,trade,automotive,0.1806,50982291107.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8704&y
CHN:automotive,IND:automotive,trade,automotive,0.1786,760066762.59,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8708&y
JPN:automotive,USA:automotive,trade,automotive,0.1709,48233494010.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8704&y
MYS:electronics,VNM:electronics,trade,electronics,0.1696,544081851.17,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8528&y
HKG:electronics,IND:electronics,trade,electronics,0.1669,3722141469.27,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8517&y
VNM:electronics,IND:electronics,trade,electronics,0.166,2577202805.98,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8528&y
CHN:semiconductors,MYS:semiconductors,trade,semiconductors,0.1563,5466564055.08,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8542&y
GBR:automotive,IND:automotive,trade,automotive,0.1506,43102316.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8704&y
VNM:electronics,THA:electronics,trade,electronics,0.1479,1157713171.82,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8528&y
DEU:automotive,IND:automotive,trade,automotive,0.1475,650880802.39,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8708&y
SGP:semiconductors,MYS:semiconductors,trade,semiconductors,0.1442,5043690485.35,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8542&y
USA:semiconductors,MYS:semiconductors,trade,semiconductors,0.1437,5025043174.21,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8542&y
USA:automotive,CHN:automotive,trade,automotive,0.1429,10494652128.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8704&y
KOR:semiconductors,TWN:semiconductors,trade,semiconductors,0.1425,7661717832.51,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8542&y=2019
CHN:semiconductors,CHN:semiconductors,trade,semiconductors,0.14,46568922087.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8542&y
USA:automotive,KOR:automotive,trade,automotive,0.1383,2119663739.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8704&y
CHN:automotive,USA:automotive,trade,automotive,0.1378,9592845098.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8708&y=2019
VNM:electronics,USA:electronics,trade,electronics,0.1362,13881032981.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8517&y=2019
JPN:semiconductors,TWN:semiconductors,trade,semiconductors,0.1313,7372817578.42,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8542&y
THA:electronics,CHN:electronics,trade,electronics,0.131,9583533257.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8517&y
USA:semiconductors,JPN:semiconductors,trade,semiconductors,0.13,2406207638.37,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8542&y=2019
THA:automotive,JPN:automotive,trade,automotive,0.1293,1109646820.41,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8708&y
JPN:automotive,KOR:automotive,trade,automotive,0.1267,1942159123.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8704&y
IND:automotive,MEX:automotive,trade,automotive,0.124,1223996374.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8703&y=2019
IRL:semiconductors,NLD:semiconductors,trade,semiconductors,0.1229,1646653261.03,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8542&y=2019
USA:electronics,MEX:electronics,trade,electronics,0.1227,3260695591.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8517&y
CHN:automotive,THA:automotive,trade,automotive,0.1209,1030523710.01,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8704&y
HKG:electronics,MYS:electronics,trade,electronics,0.1196,814191272.13,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8517&y
GBR:automotive,JPN:automotive,trade,automotive,0.1077,1355095558.76,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8704&y
ESP:automotive,DEU:automotive,trade,automotive,0.1029,12392134001.76,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8704&y
THA:electronics,THA:electronics,trade,electronics,0.1024,1116828182.33,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8517&y
MYS:semiconductors,CHN:semiconductors,trade,semiconductors,0.1008,33518676285.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8542&y
KOR:semiconductors,NLD:semiconductors,trade,semiconductors,0.1,275404984.37,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8541&y=2019
JPN:automotive,IND:automotive,trade,automotive,0.0993,416271514.79,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8708&y=2019
VNM:electronics,DEU:electronics,trade,electronics,0.0973,2239339608.35,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8517&y=2019
CHN:semiconductors,NLD:semiconductors,trade,semiconductors,0.097,1566551442.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8542&y
DEU:automotive,USA:automotive,trade,automotive,0.09,22423016680.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8708&y
CHN:automotive,MEX:automotive,trade,automotive,0.0893,3307313675.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8708&y
USA:automotive,DEU:automotive,trade,automotive,0.0878,6365533088.91,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8703&y=2019
SGP:electronics,IND:electronics,trade,electronics,0.087,1940554072.23,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8517&y
JPN:semiconductors,KOR:semiconductors,trade,semiconductors,0.0868,3531272430.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8542&y
JPN:semiconductors,MYS:semiconductors,trade,semiconductors,0.0868,3034138020.44,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8542&y
JPN:automotive,MEX:automotive,trade,automotive,0.0864,3379324026.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8704&y
KOR:electronics,CHN:electronics,trade,electronics,0.0856,6334315131.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8517&y
THA:electronics,MEX:electronics,trade,electronics,0.0854,2270298988.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8517&y
KOR:automotive,USA:automotive,trade,automotive,0.084,20924395634.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8708&y
SGP:electronics,MYS:electronics,trade,electronics,0.0839,571278229.79,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8517&y
FRA:automotive,DEU:automotive,trade,automotive,0.0831,10000392065.76,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8704&y
USA:semiconductors,KOR:semiconductors,trade,semiconductors,0.0827,3364509432.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8542&y
MYS:semiconductors,TWN:semiconductors,trade,semiconductors,0.0822,4614210939.25,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8542&y
DEU:automotive,MEX:automotive,trade,automotive,0.082,3207937945.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8704&y
GBR:automotive,CHN:automotive,trade,automotive,0.0816,3839039045.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8703&y=2019
THA:automotive,IND:automotive,trade,automotive,0.0807,343382568.47,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8708&y
DEU:automotive,THA:automotive,trade,automotive,0.0804,685171233.84,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8704&y
USA:automotive,JPN:automotive,trade,automotive,0.0802,1660791937.71,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8704&y
VNM:electronics,TWN:electronics,trade,electronics,0.0794,453581256.69,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8517&y=2019
THA:electronics,MYS:electronics,trade,electronics,0.0771,556640893.9,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8517&y
USA:automotive,THA:automotive,trade,automotive,0.0764,651460560.48,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8704&y
PHL:electronics,MEX:electronics,trade,electronics,0.076,769796742.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8471&y=2019
KOR:automotive,JPN:automotive,trade,automotive,0.0754,613373503.81,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8708&y=2019
MYS:electronics,THA:electronics,trade,electronics,0.0736,873553202.73,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8517&y
USA:semiconductors,TWN:semiconductors,trade,semiconductors,0.0731,4101259522.78,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8542&y
GBR:automotive,KOR:automotive,trade,automotive,0.072,799944221.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8703&y=2019
THA:electronics,TWN:electronics,trade,electronics,0.0715,251412575.65,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8471&y=2019
KOR:electronics,MEX:electronics,trade,electronics,0.0713,722859392.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8471&y=2019
KOR:semiconductors,USA:semiconductors,trade,semiconductors,0.0701,3110426767.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8542&y
KOR:automotive,CHN:automotive,trade,automotive,0.0678,1710795017.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8708&y=2019
SGP:semiconductors,NLD:semiconductors,trade,semiconductors,0.0675,903680612.52,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8542&y=2019
MEX:automotive,KOR:automotive,trade,automotive,0.0664,256926181.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8708&y=2019
VNM:electronics,MYS:electronics,trade,electronics,0.066,476558906.17,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8517&y
USA:electronics,KOR:electronics,trade,electronics,0.0659,549471037.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8528&y
USA:automotive,IND:automotive,trade,automotive,0.0645,288807436.13,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8704&y
JPN:electronics,TWN:electronics,trade,electronics,0.064,38708337.48,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8528&y=2019
ITA:automotive,JPN:automotive,trade,automotive,0.0636,771619642.68,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8703&y=2019
JPN:semiconductors,CHN:semiconductors,trade,semiconductors,0.0631,20984654141.0,0.6,0.3,0.2,8.0,comtrade_edges.csv https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8542&y
