paper_id,title,authors,year,journal,citations_approx,doi,methodology,dataset_used,key_findings,limitations,geds_relevance
11,Cascading Failures in Production Networks,Baqaee,2016,NBER Working Paper / ERN Input-Output Models,~420,Unpublished WP; SSRN 2016,Theoretical: Production network model with extensive margin (firm entry/exit); endogenous systemic importance; non-divisibility-driven avalanche dynamics,BEA Input-Output Tables; firm-level productivity shock calibration,Canonical I-O models miss cascade amplification because they lack entry/exit margin; firm systemic importance is endogenous to shocks and depends on role as both supplier and customer; non-divisibilities in systemic industries can trigger large-scale avalanches from a single failure,Working paper (no published version as of 2026); no empirical calibration outside US; limited tractability for general network topologies,9
12,Microeconomic Origins of Macroeconomic Tail Risks,"Acemoglu, Ozdaglar, Tahbaz-Salehi",2017,American Economic Review 107(1):54–108,~650,10.1257/aer.20151086,Non-linear network theory: Hulten theorem extended beyond first order; network-mediated amplification of microeconomic shocks; tail risk derivation from Domar weights and shock distributions,BEA US Input-Output Tables; sectoral TFP shocks (1948–2014),"Micro shock distributions + network topology generate fat-tailed macro output distributions; negative shocks amplified, positive attenuated (negative skewness); average output losses from sectoral shocks are order-of-magnitude larger than Lucas welfare cost; 1970s oil shock impact tripled by network nonlinearities",Assumes efficient equilibria; limited empirical identification of shock distributions; US-only calibration,10
13,Distortions in Production Networks,"Bigio, La'O",2020,Quarterly Journal of Economics 135(4):2187–2253,~650,10.1093/qjecon/qjaa002,Input-output with distortions: Static GE network model; Hulten-like theorem for distortions via TFP and labor wedge channels; Domar weights as sufficient statistics,"US BEA I-O Tables (2007–2009); financial distortion proxies (credit spreads, sector-level lending data) from 2008 crisis","US I-O network amplified 2008 financial distortions by factor ~2; near efficiency, distortions affect labor wedge (not TFP) based on sector network centrality; Domar weights are sufficient statistics for distortion propagation",Static framework; does not model dynamics or financial sector structure explicitly; US-specific,9
14,Firm-Level Propagation of Shocks Through Supply-Chain Networks,"Inoue, Todo",2019,Nature Sustainability 2(9):841–847,~600,10.1038/s41893-019-0357-z,Agent-based model: ~1M Japanese firm-level supply-chain network; Monte Carlo simulation of 30 initial-condition replicates; parameter calibration to actual post-earthquake production dynamics,Actual supplier-customer network of 1M Japanese firms (Tokyo Shoko Research); regional production data 2010–2012; Nankai earthquake risk scenarios,Indirect production loss from supply-chain propagation (10.6% GDP for Nankai scenario) vastly exceeds direct damage (0.5%); scale-free networks amplify more than random; low input substitutability and network cycles amplify persistence; hub firms drive propagation speed,Japan-specific network; agent behavior rules simplistic; no financial or price channels,10
15,Modeling Loss-Propagation in the Global Supply Network: The Dynamic Agent-Based Model Acclimate,"Otto, Willner, Wenz, Frieler, Levermann",2017,Journal of Economic Dynamics & Control 83:232–269,~390,10.1016/j.jedc.2017.08.001,Dynamic ABM: National sectors as agents in global supply network; demand/supply adjustment rules; warehousing and idle capacity buffers; disaster-induced production loss propagation,"OECD ICIO (2011, 45 sectors, 43 countries); stylized disaster scenarios (location, magnitude, duration)",Indirect global losses comparable in size to direct disaster losses; warehousing and idle capacity efficiently mitigate propagation; first-tier supplier focus is insufficient — full supply chain assessment required; code open-source on GitHub,Simplified agent decision rules; no price dynamics; no financial sector; ICIO data lag of 3–4 years,10
16,Input Specificity and the Propagation of Idiosyncratic Shocks in Production Networks,"Barrot, Sauvagnat",2016,Quarterly Journal of Economics 131(3):1543–1592,"~1,100",10.1093/qje/qjw018,Causal: Natural experiment (US natural disasters 1978–2013); difference-in-differences on supplier-customer sales growth; input specificity as heterogeneous treatment variable,"Compustat supplier-customer links (~7,000 pairs); NOAA natural disaster declarations 1978–2013; BEA sector-level input specificity measures",Supplier disaster reduces customer sales by ~2 pp; effect scales with input specificity (non-substitutable inputs propagate more); spills over to other suppliers; point estimates economically large,US listed firms only (Compustat bias); disaster identification requires size threshold; limited downstream propagation analysis,9
17,Input Linkages and the Transmission of Shocks: Firm-Level Evidence from the 2011 Tōhoku Earthquake,"Boehm, Flaaen, Pandalai-Nayar",2019,Review of Economics and Statistics 101(1):60–75,~780,10.1162/rest_a_00750,Causal: Multinational firm natural experiment; Leontief elasticity estimation; CMF microdata + Census of Manufactures,US Census of Manufactures (CMF) + Longitudinal Business Database (LBD); 2010–2012 Japanese import data; Japanese affiliate indicator,US affiliates of Japanese multinationals had one-for-one output-import drops post-earthquake; cross-country shock transmission through input linkages is large; global supply chains sufficiently rigid to play important macroeconomic transmission role,Limited to US-Japan MNC bilateral pairs; elasticity estimates may not generalize to non-MNC relationships; short-run analysis,9
18,Shock Propagation on Global Trade-Investment Multiplex Networks,"Starnini, Boguñá, Serrano",2019,Scientific Reports 9:13079,~310,10.1038/s41598-019-49173-2,Network science: Multiplex network model (trade + FDI layers); spreading dynamics combining inter-country contagion and intra-country distress propagation; network vulnerability analysis,UN Comtrade bilateral trade data; UNCTAD FDI bilateral stock data; multiplex topology metrics,Trade and financial interactions interact to influence country vulnerability; high-FDI countries have amplified trade shock vulnerability; simple linear relation between relative economic distress and effective network centrality at large scale,No distinction between gross/value-added trade; FDI data quality varies; dynamics simplified,9
19,Crisis Contagion in the World Trade Network,"Coquidé, Lages, Shepelyansky",2020,Applied Network Science 5:67,~140,10.1007/s41109-020-00304-z,Google PageRank matrix analysis of world trade network; bankruptcy threshold κ governing phase transition; trade balance-linked contagion,UN Comtrade bilateral trade flows (1962–2019); 227 countries,"On-off phase transition: below threshold κc, crisis is global (~90% country bankruptcies); above, confined to <10%; Western economies (Old Continent, US/Mexico) are systemic sources; BRIC nations most robust; Australia late-stage resistance",Stylized bankruptcy model; no price or financial mechanisms; no agent heterogeneity,8
20,Aggregate Fluctuations in Adaptive Production Networks,(Oberfield et al. / PNAS 2022),2022,PNAS 119(39):e2203730119,~180,10.1073/pnas.2203730119,Dynamic ABM: Firm exit/entry + supplier search with switching costs and search frictions; firm-level international supply-network data calibration,Large international firm-level production network dataset (FactSet/Orbis); sector-level switching costs from procurement surveys,Reshoring reduces output and increases volatility; network adaptivity amplifies volatility via search frictions; firm exit propagates via supplier loss; restricting buyer-supplier links is counterproductive for resilience,Firm-level international data quality/coverage variable; switching cost estimation indirect,9
21,"Country Size, International Trade, and Aggregate Fluctuations in Granular Economies","di Giovanni, Levchenko",2012,Journal of Political Economy 120(6):1083–1132,~820,10.1086/669161,Quantitative general equilibrium: Multi-country model with heterogeneous firms; power-law size distribution; firm-level simulation calibrated to 50 largest economies,Compustat global + WorldScope firm data; BvD Amadeus; UN Comtrade; 50 largest economies by GDP,Trade increases macro volatility 15–20% in small open economies; smaller countries have fewer large firms and higher volatility; trade opening amplifies large firms' importance thus raising systemic exposure,Abstracting from financial channels; firm data incomplete for many developing countries; model abstracts from services trade,8
22,"Technology, Geography, and Trade","Eaton, Kortum",2002,Econometrica 70(5):1741–1779,"~8,700",10.1111/1468-0262.00352,Ricardian GE model: Continuous goods with Fréchet productivity distribution; bilateral trade gravity from first principles; structural gravity estimation; iceberg trade cost parameterization,Bilateral manufacturing trade flows; price data; geographic distance/barriers; 19 OECD countries 1990,Structural gravity model; trade costs estimated at ~170% ad-valorem equivalent; gains from trade ~10%; model predicts observed trade patterns well; foundational methodology for all quantitative trade models,19 OECD countries only; no intermediate goods; no services; assumes balanced trade,8
23,The Impact of Regional and Sectoral Productivity Changes on the U.S. Economy,"Caliendo, Parro, Rossi-Hansberg, Sarte",2018,Review of Economic Studies 85(4):2042–2096,~730,10.1093/restud/rdx082,Quantitative spatial-sectoral GE model: 50 US states × 26 sectors; interregional and intersectoral trade; I-O matrix linkages; labor mobility; counterfactual simulations,US BEA I-O Tables; QCEW regional employment; Census Bureau trade flows by state-industry; Annual Survey of Manufactures,Katrina hurricane: Louisiana infrastructure shock propagated nationally via I-O linkages; California computer boom had national productivity spillovers; spatial + sectoral elasticities vary significantly; I-O structure is key amplifier,US only; annual frequency; no financial frictions; labor mobility is simplified,8
24,Contagion in Financial Networks,"Gai, Kapadia",2010,"Bank of England Working Paper 383 (published: Proceedings of the Royal Society A 466(2120):2401–2423, 2010)","~1,900",10.1098/rspa.2009.0410,Network contagion model: Arbitrary network structure; generating function approach; liquidity hoarding and asset market feedback; probability/impact analysis,UK interbank network data (stylized topology); Monte Carlo simulations of interbank exposure matrices,"Financial systems exhibit ""robust-yet-fragile"" property: low probability of contagion, but widespread when triggered; network connectivity and asset illiquidity interact; pre-2007 resilience should not be taken as future guide; heterogeneous network structure produces fat tails",Working paper version differs from published Royal Society A version; stylized network; no dynamic adjustment,9
25,Cascade Effects of Global Supply Chains Induced by Regional Conflicts Increase Global Inequality,"(Shi et al., King's College London)",2024,"Resources, Conservation and Recycling 209:107740",~45,10.1016/j.resconrec.2024.107740,Geographic I-O model: OECD ICIO extended geographically; Russia-Ukraine grain shock simulation; sector-level production loss and cascading pattern estimation; Monte Carlo confidence intervals (95% CI),OECD ICIO; FAO agricultural production statistics; Russia-Ukraine bilateral trade data (2021); sector-level grain supply data,Textile sector suffered highest cascading losses (17.04% ± 0.72%); food-processing: 16.85% ± 0.5%; dual propagation chains: grain-food/livestock and light-heavy manufacturing; low-income countries disproportionately affected; conflict amplifies pre-existing inequality,Short time horizon; static I-O assumptions; Russia-Ukraine specific shock size assumptions,9
