node_id,country_iso3,industry,type,in_g20,centrality,vulnerability,resilience,amplification,threshold,recovery_delay_weeks,inventory_weeks,pass_through,elasticity,labor_intensity,evidence_source
BRA:consumer_goods,BRA,consumer_goods,country_industry,True,0.55,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
CAN:energy,CAN,energy,country_industry,True,0.5,0.65,0.5,0.7,0.3,10,6,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
CAN:automotive,CAN,automotive,country_industry,True,0.5,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
CAN:aerospace,CAN,aerospace,country_industry,True,0.5,0.5,0.5,0.5,0.3,16,12,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
CHE:consumer_goods,CHE,consumer_goods,country_industry,False,0.4,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
CHN:semiconductors,CHN,semiconductors,country_industry,True,0.95,0.75,0.5,0.7,0.3,12,8,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
CHN:automotive,CHN,automotive,country_industry,True,0.95,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
CHN:electronics,CHN,electronics,country_industry,True,0.95,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
CHN:shipping,CHN,shipping,country_industry,True,0.95,0.7,0.5,0.65,0.3,4,2,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
CHN:energy,CHN,energy,country_industry,True,0.95,0.65,0.5,0.7,0.3,10,6,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
CHN:consumer_goods,CHN,consumer_goods,country_industry,True,0.95,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
DEU:automotive,DEU,automotive,country_industry,True,0.75,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
DEU:electronics,DEU,electronics,country_industry,True,0.75,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
DEU:aerospace,DEU,aerospace,country_industry,True,0.75,0.5,0.5,0.5,0.3,16,12,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
DEU:consumer_goods,DEU,consumer_goods,country_industry,True,0.75,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
ESP:automotive,ESP,automotive,country_industry,False,0.45,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
ESP:consumer_goods,ESP,consumer_goods,country_industry,False,0.45,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
FRA:automotive,FRA,automotive,country_industry,True,0.65,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
FRA:aerospace,FRA,aerospace,country_industry,True,0.65,0.5,0.5,0.5,0.3,16,12,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
FRA:energy,FRA,energy,country_industry,True,0.65,0.65,0.5,0.7,0.3,10,6,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
FRA:consumer_goods,FRA,consumer_goods,country_industry,True,0.65,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
GBR:aerospace,GBR,aerospace,country_industry,True,0.65,0.5,0.5,0.5,0.3,16,12,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
GBR:automotive,GBR,automotive,country_industry,True,0.65,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
GBR:energy,GBR,energy,country_industry,True,0.65,0.65,0.5,0.7,0.3,10,6,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
GBR:consumer_goods,GBR,consumer_goods,country_industry,True,0.65,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
HKG:electronics,HKG,electronics,country_industry,False,0.55,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
HKG:shipping,HKG,shipping,country_industry,False,0.55,0.7,0.5,0.65,0.3,4,2,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
IDN:energy,IDN,energy,country_industry,True,0.45,0.65,0.5,0.7,0.3,10,6,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
IDN:consumer_goods,IDN,consumer_goods,country_industry,True,0.45,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
IDN:shipping,IDN,shipping,country_industry,True,0.45,0.7,0.5,0.65,0.3,4,2,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
IND:electronics,IND,electronics,country_industry,True,0.6,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
IND:automotive,IND,automotive,country_industry,True,0.6,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
IND:consumer_goods,IND,consumer_goods,country_industry,True,0.6,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
IND:energy,IND,energy,country_industry,True,0.6,0.65,0.5,0.7,0.3,10,6,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
IRL:semiconductors,IRL,semiconductors,country_industry,False,0.45,0.75,0.5,0.7,0.3,12,8,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
IRL:consumer_goods,IRL,consumer_goods,country_industry,False,0.45,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
ISR:semiconductors,ISR,semiconductors,country_industry,False,0.45,0.75,0.5,0.7,0.3,12,8,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
ISR:electronics,ISR,electronics,country_industry,False,0.45,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
ISR:aerospace,ISR,aerospace,country_industry,False,0.45,0.5,0.5,0.5,0.3,16,12,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
ITA:automotive,ITA,automotive,country_industry,True,0.5,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
ITA:consumer_goods,ITA,consumer_goods,country_industry,True,0.5,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
JPN:semiconductors,JPN,semiconductors,country_industry,True,0.75,0.75,0.5,0.7,0.3,12,8,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
JPN:automotive,JPN,automotive,country_industry,True,0.75,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
JPN:electronics,JPN,electronics,country_industry,True,0.75,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
JPN:shipping,JPN,shipping,country_industry,True,0.75,0.7,0.5,0.65,0.3,4,2,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
JPN:consumer_goods,JPN,consumer_goods,country_industry,True,0.75,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
KOR:semiconductors,KOR,semiconductors,country_industry,True,0.7,0.75,0.5,0.7,0.3,12,8,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
KOR:automotive,KOR,automotive,country_industry,True,0.7,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
KOR:electronics,KOR,electronics,country_industry,True,0.7,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
KOR:shipping,KOR,shipping,country_industry,True,0.7,0.7,0.5,0.65,0.3,4,2,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
KOR:consumer_goods,KOR,consumer_goods,country_industry,True,0.7,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
MEX:automotive,MEX,automotive,country_industry,True,0.55,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
MEX:electronics,MEX,electronics,country_industry,True,0.55,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
MEX:consumer_goods,MEX,consumer_goods,country_industry,True,0.55,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
MYS:semiconductors,MYS,semiconductors,country_industry,False,0.5,0.75,0.5,0.7,0.3,12,8,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
MYS:electronics,MYS,electronics,country_industry,False,0.5,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
MYS:energy,MYS,energy,country_industry,False,0.5,0.65,0.5,0.7,0.3,10,6,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
MYS:shipping,MYS,shipping,country_industry,False,0.5,0.7,0.5,0.65,0.3,4,2,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
NLD:semiconductors,NLD,semiconductors,country_industry,False,0.6,0.75,0.5,0.7,0.3,12,8,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
NLD:aerospace,NLD,aerospace,country_industry,False,0.6,0.5,0.5,0.5,0.3,16,12,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
NLD:shipping,NLD,shipping,country_industry,False,0.6,0.7,0.5,0.65,0.3,4,2,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
PHL:electronics,PHL,electronics,country_industry,False,0.4,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
PHL:shipping,PHL,shipping,country_industry,False,0.4,0.7,0.5,0.65,0.3,4,2,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
POL:automotive,POL,automotive,country_industry,False,0.4,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
POL:consumer_goods,POL,consumer_goods,country_industry,False,0.4,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
RUS:energy,RUS,energy,country_industry,True,0.5,0.65,0.5,0.7,0.3,10,6,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
RUS:consumer_goods,RUS,consumer_goods,country_industry,True,0.5,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
SAU:energy,SAU,energy,country_industry,True,0.55,0.65,0.5,0.7,0.3,10,6,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
SGP:semiconductors,SGP,semiconductors,country_industry,False,0.6,0.75,0.5,0.7,0.3,12,8,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
SGP:electronics,SGP,electronics,country_industry,False,0.6,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
SGP:shipping,SGP,shipping,country_industry,False,0.6,0.7,0.5,0.65,0.3,4,2,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
THA:automotive,THA,automotive,country_industry,False,0.5,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
THA:electronics,THA,electronics,country_industry,False,0.5,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
THA:consumer_goods,THA,consumer_goods,country_industry,False,0.5,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
TUR:automotive,TUR,automotive,country_industry,True,0.4,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
TUR:consumer_goods,TUR,consumer_goods,country_industry,True,0.4,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
TWN:semiconductors,TWN,semiconductors,country_industry,False,0.85,0.75,0.5,0.7,0.3,12,8,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
TWN:electronics,TWN,electronics,country_industry,False,0.85,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
TWN:shipping,TWN,shipping,country_industry,False,0.85,0.7,0.5,0.65,0.3,4,2,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
USA:semiconductors,USA,semiconductors,country_industry,True,0.95,0.75,0.5,0.7,0.3,12,8,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
USA:automotive,USA,automotive,country_industry,True,0.95,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
USA:electronics,USA,electronics,country_industry,True,0.95,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
USA:aerospace,USA,aerospace,country_industry,True,0.95,0.5,0.5,0.5,0.3,16,12,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
USA:shipping,USA,shipping,country_industry,True,0.95,0.7,0.5,0.65,0.3,4,2,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
USA:energy,USA,energy,country_industry,True,0.95,0.65,0.5,0.7,0.3,10,6,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
USA:consumer_goods,USA,consumer_goods,country_industry,True,0.95,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
VNM:electronics,VNM,electronics,country_industry,False,0.45,0.6,0.5,0.55,0.3,6,5,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
VNM:consumer_goods,VNM,consumer_goods,country_industry,False,0.45,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
VNM:shipping,VNM,shipping,country_industry,False,0.45,0.7,0.5,0.65,0.3,4,2,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
ZAF:automotive,ZAF,automotive,country_industry,True,0.35,0.55,0.5,0.6,0.3,8,4,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
ZAF:consumer_goods,ZAF,consumer_goods,country_industry,True,0.35,0.45,0.5,0.4,0.3,4,3,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
ZAF:energy,ZAF,energy,country_industry,True,0.35,0.65,0.5,0.7,0.3,10,6,0.5,0.5,0.5,G20 + trade-hub heuristic; sector tuning from docx Acclimate / Carvalho 2021 / SIA factbook references; centrality from comtrade share
CP:TaiwanStrait,,chokepoint,shipping_lane,False,0.6,0.5,0.3,0.7,0.25,2.0,0.5,0.95,0.3,0.2,docx chokepoint inventory; node name = 'Taiwan Strait'
CP:Malacca,,chokepoint,shipping_lane,False,0.6,0.5,0.3,0.7,0.25,2.0,0.5,0.95,0.3,0.2,docx chokepoint inventory; node name = 'Strait of Malacca'
CP:Suez,,chokepoint,shipping_lane,False,0.6,0.5,0.3,0.7,0.25,2.0,0.5,0.95,0.3,0.2,docx chokepoint inventory; node name = 'Suez Canal'
CP:Hormuz,,chokepoint,shipping_lane,False,0.6,0.5,0.3,0.7,0.25,2.0,0.5,0.95,0.3,0.2,docx chokepoint inventory; node name = 'Strait of Hormuz'
CP:Panama,,chokepoint,shipping_lane,False,0.6,0.5,0.3,0.7,0.25,2.0,0.5,0.95,0.3,0.2,docx chokepoint inventory; node name = 'Panama Canal'
CP:RedSea,,chokepoint,shipping_lane,False,0.6,0.5,0.3,0.7,0.25,2.0,0.5,0.95,0.3,0.2,docx chokepoint inventory; node name = 'Red Sea'
CP:Bosphorus,,chokepoint,shipping_lane,False,0.6,0.5,0.3,0.7,0.25,2.0,0.5,0.95,0.3,0.2,docx chokepoint inventory; node name = 'Bosphorus Strait'
CP:Bab-el-Mandeb,,chokepoint,shipping_lane,False,0.6,0.5,0.3,0.7,0.25,2.0,0.5,0.95,0.3,0.2,docx chokepoint inventory; node name = 'Bab-el-Mandeb Strait'
