node_id,country_iso3,industry,icio_codes,output_usd_m,world_sector_share
COL:aerospace,COL,aerospace,C302T309,577.8,0.00057
COL:consumer_goods,COL,consumer_goods,C10T12+C13T15+C31T33,48366.5,0.00406
COL:shipping,COL,shipping,H50,306.5,0.00037
CRI:electronics_c26,CRI,electronics_c26,C26,135.8,3e-05
CRI:automotive,CRI,automotive,C29,43.5,1e-05
CRI:aerospace,CRI,aerospace,C302T309,4.0,0.0
CRI:consumer_goods,CRI,consumer_goods,C10T12+C13T15+C31T33,12272.6,0.00103
CRI:shipping,CRI,shipping,H50,1175.8,0.00143
CYP:electronics_c26,CYP,electronics_c26,C26,59.0,1e-05
CYP:automotive,CYP,automotive,C29,16.7,0.0
CYP:aerospace,CYP,aerospace,C302T309,5.9,1e-05
CYP:consumer_goods,CYP,consumer_goods,C10T12+C13T15+C31T33,1980.3,0.00017
CYP:shipping,CYP,shipping,H50,1861.6,0.00226
CZE:electronics_c26,CZE,electronics_c26,C26,14777.0,0.00363
CZE:automotive,CZE,automotive,C29,57290.1,0.01362
CZE:aerospace,CZE,aerospace,C302T309,3152.2,0.00309
CZE:consumer_goods,CZE,consumer_goods,C10T12+C13T15+C31T33,30128.1,0.00253
CZE:shipping,CZE,shipping,H50,251.3,0.0003
DEU:electronics_c26,DEU,electronics_c26,C26,107168.4,0.02632
DEU:automotive,DEU,automotive,C29,445575.2,0.10597
DEU:aerospace,DEU,aerospace,C302T309,54861.9,0.05375
DEU:consumer_goods,DEU,consumer_goods,C10T12+C13T15+C31T33,355642.9,0.02984
DEU:shipping,DEU,shipping,H50,38278.0,0.04641
DNK:electronics_c26,DNK,electronics_c26,C26,5587.6,0.00137
DNK:automotive,DNK,automotive,C29,995.0,0.00024
DNK:aerospace,DNK,aerospace,C302T309,317.1,0.00031
DNK:consumer_goods,DNK,consumer_goods,C10T12+C13T15+C31T33,33753.3,0.00283
DNK:shipping,DNK,shipping,H50,36755.9,0.04456
EGY:electronics_c26,EGY,electronics_c26,C26,1030.4,0.00025
EGY:automotive,EGY,automotive,C29,1999.1,0.00048
EGY:aerospace,EGY,aerospace,C302T309,152.2,0.00015
EGY:consumer_goods,EGY,consumer_goods,C10T12+C13T15+C31T33,48770.5,0.00409
EGY:shipping,EGY,shipping,H50,11476.4,0.01391
ESP:electronics_c26,ESP,electronics_c26,C26,5899.0,0.00145
ESP:automotive,ESP,automotive,C29,76406.1,0.01817
ESP:aerospace,ESP,aerospace,C302T309,16655.7,0.01632
ESP:consumer_goods,ESP,consumer_goods,C10T12+C13T15+C31T33,189078.0,0.01587
ESP:shipping,ESP,shipping,H50,2822.8,0.00342
EST:electronics_c26,EST,electronics_c26,C26,1430.1,0.00035
EST:automotive,EST,automotive,C29,462.6,0.00011
EST:aerospace,EST,aerospace,C302T309,3.0,0.0
EST:consumer_goods,EST,consumer_goods,C10T12+C13T15+C31T33,4395.1,0.00037
EST:shipping,EST,shipping,H50,541.1,0.00066
FIN:electronics_c26,FIN,electronics_c26,C26,13081.1,0.00321
FIN:automotive,FIN,automotive,C29,2527.9,0.0006
FIN:aerospace,FIN,aerospace,C302T309,263.7,0.00026
FIN:consumer_goods,FIN,consumer_goods,C10T12+C13T15+C31T33,20192.4,0.00169
FIN:shipping,FIN,shipping,H50,2798.5,0.00339
FRA:electronics_c26,FRA,electronics_c26,C26,28953.5,0.00711
FRA:automotive,FRA,automotive,C29,94203.4,0.0224
FRA:aerospace,FRA,aerospace,C302T309,124029.9,0.12152
FRA:consumer_goods,FRA,consumer_goods,C10T12+C13T15+C31T33,295708.4,0.02481
FRA:shipping,FRA,shipping,H50,17479.8,0.02119
GBR:electronics_c26,GBR,electronics_c26,C26,30428.1,0.00747
GBR:automotive,GBR,automotive,C29,79722.1,0.01896
GBR:aerospace,GBR,aerospace,C302T309,38257.7,0.03748
GBR:consumer_goods,GBR,consumer_goods,C10T12+C13T15+C31T33,194401.3,0.01631
GBR:shipping,GBR,shipping,H50,19558.4,0.02371
GRC:electronics_c26,GRC,electronics_c26,C26,642.5,0.00016
GRC:automotive,GRC,automotive,C29,129.1,3e-05
GRC:aerospace,GRC,aerospace,C302T309,417.0,0.00041
GRC:consumer_goods,GRC,consumer_goods,C10T12+C13T15+C31T33,21573.8,0.00181
GRC:shipping,GRC,shipping,H50,18355.2,0.02225
HKG:electronics_c26,HKG,electronics_c26,C26,7337.4,0.0018
HKG:automotive,HKG,automotive,C29,2041.5,0.00049
HKG:aerospace,HKG,aerospace,C302T309,647.4,0.00063
HKG:consumer_goods,HKG,consumer_goods,C10T12+C13T15+C31T33,14912.3,0.00125
HKG:shipping,HKG,shipping,H50,19857.8,0.02408
HRV:electronics_c26,HRV,electronics_c26,C26,347.5,9e-05
HRV:automotive,HRV,automotive,C29,363.5,9e-05
HRV:aerospace,HRV,aerospace,C302T309,103.3,0.0001
HRV:consumer_goods,HRV,consumer_goods,C10T12+C13T15+C31T33,7869.6,0.00066
HRV:shipping,HRV,shipping,H50,505.8,0.00061
HUN:electronics_c26,HUN,electronics_c26,C26,14404.0,0.00354
HUN:automotive,HUN,automotive,C29,33117.9,0.00788
HUN:aerospace,HUN,aerospace,C302T309,1173.3,0.00115
HUN:consumer_goods,HUN,consumer_goods,C10T12+C13T15+C31T33,19113.6,0.0016
HUN:shipping,HUN,shipping,H50,177.4,0.00022
IDN:electronics_c26,IDN,electronics_c26,C26,26411.6,0.00649
IDN:automotive,IDN,automotive,C29,39034.0,0.00928
IDN:aerospace,IDN,aerospace,C302T309,21080.0,0.02065
IDN:consumer_goods,IDN,consumer_goods,C10T12+C13T15+C31T33,269997.1,0.02266
IDN:shipping,IDN,shipping,H50,12171.9,0.01476
IND:electronics_c26,IND,electronics_c26,C26,40553.2,0.00996
IND:automotive,IND,automotive,C29,121933.6,0.029
IND:aerospace,IND,aerospace,C302T309,31487.0,0.03085
IND:consumer_goods,IND,consumer_goods,C10T12+C13T15+C31T33,506234.0,0.04248
IND:shipping,IND,shipping,H50,4524.2,0.00549
IRL:electronics_c26,IRL,electronics_c26,C26,24678.6,0.00606
IRL:automotive,IRL,automotive,C29,818.3,0.00019
IRL:aerospace,IRL,aerospace,C302T309,187.2,0.00018
IRL:consumer_goods,IRL,consumer_goods,C10T12+C13T15+C31T33,48158.5,0.00404
IRL:shipping,IRL,shipping,H50,977.8,0.00119
ISL:electronics_c26,ISL,electronics_c26,C26,31.0,1e-05
ISL:automotive,ISL,automotive,C29,9.1,0.0
ISL:aerospace,ISL,aerospace,C302T309,45.7,4e-05
ISL:consumer_goods,ISL,consumer_goods,C10T12+C13T15+C31T33,4215.5,0.00035
ISL:shipping,ISL,shipping,H50,660.0,0.0008
ISR:electronics_c26,ISR,electronics_c26,C26,30098.1,0.00739
ISR:automotive,ISR,automotive,C29,1244.2,0.0003
ISR:aerospace,ISR,aerospace,C302T309,4865.0,0.00477
ISR:consumer_goods,ISR,consumer_goods,C10T12+C13T15+C31T33,29613.9,0.00249
ISR:shipping,ISR,shipping,H50,11332.8,0.01374
ITA:electronics_c26,ITA,electronics_c26,C26,26029.0,0.00639
ITA:automotive,ITA,automotive,C29,70157.8,0.01669
ITA:aerospace,ITA,aerospace,C302T309,23331.9,0.02286
ITA:consumer_goods,ITA,consumer_goods,C10T12+C13T15+C31T33,329732.2,0.02767
ITA:shipping,ITA,shipping,H50,14266.8,0.0173
JOR:electronics_c26,JOR,electronics_c26,C26,133.3,3e-05
JOR:automotive,JOR,automotive,C29,186.4,4e-05
JOR:aerospace,JOR,aerospace,C302T309,37.4,4e-05
JOR:consumer_goods,JOR,consumer_goods,C10T12+C13T15+C31T33,9327.4,0.00078
JOR:shipping,JOR,shipping,H50,144.4,0.00018
JPN:electronics_c26,JPN,electronics_c26,C26,178551.0,0.04384
JPN:automotive,JPN,automotive,C29,467579.2,0.1112
JPN:aerospace,JPN,aerospace,C302T309,39955.7,0.03915
JPN:consumer_goods,JPN,consumer_goods,C10T12+C13T15+C31T33,654887.7,0.05495
JPN:shipping,JPN,shipping,H50,39230.8,0.04756
KAZ:electronics_c26,KAZ,electronics_c26,C26,90.8,2e-05
KAZ:automotive,KAZ,automotive,C29,491.5,0.00012
KAZ:aerospace,KAZ,aerospace,C302T309,190.9,0.00019
KAZ:consumer_goods,KAZ,consumer_goods,C10T12+C13T15+C31T33,10414.5,0.00087
KAZ:shipping,KAZ,shipping,H50,297.7,0.00036
KHM:electronics_c26,KHM,electronics_c26,C26,0.3,0.0
KHM:automotive,KHM,automotive,C29,98.9,2e-05
KHM:aerospace,KHM,aerospace,C302T309,24.8,2e-05
KHM:consumer_goods,KHM,consumer_goods,C10T12+C13T15+C31T33,7844.1,0.00066
KHM:shipping,KHM,shipping,H50,216.3,0.00026
KOR:electronics_c26,KOR,electronics_c26,C26,307543.0,0.07552
KOR:automotive,KOR,automotive,C29,188153.6,0.04475
KOR:aerospace,KOR,aerospace,C302T309,10498.2,0.01029
KOR:consumer_goods,KOR,consumer_goods,C10T12+C13T15+C31T33,197077.2,0.01654
KOR:shipping,KOR,shipping,H50,26435.5,0.03205
LAO:electronics_c26,LAO,electronics_c26,C26,15.2,0.0
LAO:automotive,LAO,automotive,C29,5.4,0.0
LAO:aerospace,LAO,aerospace,C302T309,1.3,0.0
LAO:consumer_goods,LAO,consumer_goods,C10T12+C13T15+C31T33,1932.8,0.00016
LAO:shipping,LAO,shipping,H50,32.3,4e-05
LTU:electronics_c26,LTU,electronics_c26,C26,612.8,0.00015
LTU:automotive,LTU,automotive,C29,484.7,0.00012
LTU:aerospace,LTU,aerospace,C302T309,162.1,0.00016
LTU:consumer_goods,LTU,consumer_goods,C10T12+C13T15+C31T33,10199.0,0.00086
LTU:shipping,LTU,shipping,H50,210.9,0.00026
LUX:electronics_c26,LUX,electronics_c26,C26,254.3,6e-05
LUX:automotive,LUX,automotive,C29,160.7,4e-05
LUX:aerospace,LUX,aerospace,C302T309,6.6,1e-05
LUX:consumer_goods,LUX,consumer_goods,C10T12+C13T15+C31T33,2615.3,0.00022
LUX:shipping,LUX,shipping,H50,149.1,0.00018
LVA:electronics_c26,LVA,electronics_c26,C26,431.4,0.00011
LVA:automotive,LVA,automotive,C29,262.8,6e-05
LVA:aerospace,LVA,aerospace,C302T309,91.9,9e-05
LVA:consumer_goods,LVA,consumer_goods,C10T12+C13T15+C31T33,3524.0,0.0003
LVA:shipping,LVA,shipping,H50,86.3,0.0001
MAR:electronics_c26,MAR,electronics_c26,C26,431.5,0.00011
MAR:automotive,MAR,automotive,C29,8272.2,0.00197
MAR:aerospace,MAR,aerospace,C302T309,391.8,0.00038
MAR:consumer_goods,MAR,consumer_goods,C10T12+C13T15+C31T33,30063.5,0.00252
MAR:shipping,MAR,shipping,H50,571.6,0.00069
MEX:electronics_c26,MEX,electronics_c26,C26,101262.4,0.02487
MEX:automotive,MEX,automotive,C29,189784.0,0.04513
MEX:aerospace,MEX,aerospace,C302T309,15199.1,0.01489
MEX:consumer_goods,MEX,consumer_goods,C10T12+C13T15+C31T33,198995.5,0.0167
MEX:shipping,MEX,shipping,H50,2290.6,0.00278
MLT:electronics_c26,MLT,electronics_c26,C26,3176.4,0.00078
MLT:automotive,MLT,automotive,C29,161.7,4e-05
MLT:aerospace,MLT,aerospace,C302T309,72.4,7e-05
MLT:consumer_goods,MLT,consumer_goods,C10T12+C13T15+C31T33,1225.3,0.0001
MLT:shipping,MLT,shipping,H50,194.9,0.00024
MMR:electronics_c26,MMR,electronics_c26,C26,1235.1,0.0003
MMR:automotive,MMR,automotive,C29,1643.9,0.00039
MMR:aerospace,MMR,aerospace,C302T309,193.1,0.00019
MMR:consumer_goods,MMR,consumer_goods,C10T12+C13T15+C31T33,22932.7,0.00192
MMR:shipping,MMR,shipping,H50,1589.5,0.00193
MYS:electronics_c26,MYS,electronics_c26,C26,69349.1,0.01703
MYS:automotive,MYS,automotive,C29,14209.0,0.00338
MYS:aerospace,MYS,aerospace,C302T309,2799.9,0.00274
MYS:consumer_goods,MYS,consumer_goods,C10T12+C13T15+C31T33,90255.3,0.00757
MYS:shipping,MYS,shipping,H50,4975.9,0.00603
NGA:electronics_c26,NGA,electronics_c26,C26,321.1,8e-05
NGA:automotive,NGA,automotive,C29,2419.1,0.00058
NGA:aerospace,NGA,aerospace,C302T309,10.7,1e-05
NGA:consumer_goods,NGA,consumer_goods,C10T12+C13T15+C31T33,125928.1,0.01057
NGA:shipping,NGA,shipping,H50,609.0,0.00074
NLD:electronics_c26,NLD,electronics_c26,C26,27814.6,0.00683
NLD:automotive,NLD,automotive,C29,18703.2,0.00445
NLD:aerospace,NLD,aerospace,C302T309,2880.5,0.00282
NLD:consumer_goods,NLD,consumer_goods,C10T12+C13T15+C31T33,113436.7,0.00952
NLD:shipping,NLD,shipping,H50,10106.5,0.01225
NOR:electronics_c26,NOR,electronics_c26,C26,3089.8,0.00076
NOR:automotive,NOR,automotive,C29,956.9,0.00023
NOR:aerospace,NOR,aerospace,C302T309,291.3,0.00029
NOR:consumer_goods,NOR,consumer_goods,C10T12+C13T15+C31T33,37076.6,0.00311
NOR:shipping,NOR,shipping,H50,18685.0,0.02265
NZL:electronics_c26,NZL,electronics_c26,C26,1076.4,0.00026
NZL:automotive,NZL,automotive,C29,1096.0,0.00026
NZL:aerospace,NZL,aerospace,C302T309,1316.6,0.00129
NZL:consumer_goods,NZL,consumer_goods,C10T12+C13T15+C31T33,37759.9,0.00317
NZL:shipping,NZL,shipping,H50,464.7,0.00056
PAK:electronics_c26,PAK,electronics_c26,C26,3680.2,0.0009
PAK:automotive,PAK,automotive,C29,5137.3,0.00122
PAK:aerospace,PAK,aerospace,C302T309,674.6,0.00066
PAK:consumer_goods,PAK,consumer_goods,C10T12+C13T15+C31T33,65510.0,0.0055
PAK:shipping,PAK,shipping,H50,5319.4,0.00645
PER:electronics_c26,PER,electronics_c26,C26,189.3,5e-05
PER:automotive,PER,automotive,C29,2081.6,0.0005
PER:aerospace,PER,aerospace,C302T309,718.5,0.0007
PER:consumer_goods,PER,consumer_goods,C10T12+C13T15+C31T33,42541.4,0.00357
PER:shipping,PER,shipping,H50,527.1,0.00064
PHL:electronics_c26,PHL,electronics_c26,C26,27018.7,0.00663
PHL:automotive,PHL,automotive,C29,3355.6,0.0008
PHL:aerospace,PHL,aerospace,C302T309,1569.4,0.00154
PHL:consumer_goods,PHL,consumer_goods,C10T12+C13T15+C31T33,121605.9,0.0102
PHL:shipping,PHL,shipping,H50,2067.0,0.00251
POL:electronics_c26,POL,electronics_c26,C26,11113.3,0.00273
POL:automotive,POL,automotive,C29,42179.5,0.01003
POL:aerospace,POL,aerospace,C302T309,6573.1,0.00644
POL:consumer_goods,POL,consumer_goods,C10T12+C13T15+C31T33,114677.5,0.00962
POL:shipping,POL,shipping,H50,889.0,0.00108
PRT:electronics_c26,PRT,electronics_c26,C26,2900.0,0.00071
PRT:automotive,PRT,automotive,C29,13268.5,0.00316
PRT:aerospace,PRT,aerospace,C302T309,841.0,0.00082
PRT:consumer_goods,PRT,consumer_goods,C10T12+C13T15+C31T33,38371.7,0.00322
PRT:shipping,PRT,shipping,H50,790.8,0.00096
ROU:electronics_c26,ROU,electronics_c26,C26,3258.8,0.0008
ROU:automotive,ROU,automotive,C29,23128.9,0.0055
ROU:aerospace,ROU,aerospace,C302T309,1238.5,0.00121
ROU:consumer_goods,ROU,consumer_goods,C10T12+C13T15+C31T33,40059.0,0.00336
ROU:shipping,ROU,shipping,H50,845.3,0.00102
ROW:electronics_c26,ROW,electronics_c26,C26,32786.1,0.00805
ROW:automotive,ROW,automotive,C29,63417.7,0.01508
ROW:aerospace,ROW,aerospace,C302T309,6967.1,0.00683
ROW:consumer_goods,ROW,consumer_goods,C10T12+C13T15+C31T33,517983.9,0.04347
ROW:shipping,ROW,shipping,H50,47472.7,0.05756
RUS:electronics_c26,RUS,electronics_c26,C26,23575.2,0.00579
RUS:automotive,RUS,automotive,C29,43348.3,0.01031
RUS:aerospace,RUS,aerospace,C302T309,29392.0,0.0288
RUS:consumer_goods,RUS,consumer_goods,C10T12+C13T15+C31T33,169182.3,0.0142
RUS:shipping,RUS,shipping,H50,4027.8,0.00488
SAU:electronics_c26,SAU,electronics_c26,C26,268.6,7e-05
SAU:automotive,SAU,automotive,C29,1523.3,0.00036
SAU:aerospace,SAU,aerospace,C302T309,212.9,0.00021
SAU:consumer_goods,SAU,consumer_goods,C10T12+C13T15+C31T33,43106.5,0.00362
SAU:shipping,SAU,shipping,H50,1907.3,0.00231
SEN:electronics_c26,SEN,electronics_c26,C26,3.5,0.0
SEN:automotive,SEN,automotive,C29,7.8,0.0
SEN:aerospace,SEN,aerospace,C302T309,80.8,8e-05
SEN:consumer_goods,SEN,consumer_goods,C10T12+C13T15+C31T33,5351.6,0.00045
SEN:shipping,SEN,shipping,H50,34.0,4e-05
SGP:electronics_c26,SGP,electronics_c26,C26,105230.3,0.02584
SGP:automotive,SGP,automotive,C29,1072.1,0.00025
SGP:aerospace,SGP,aerospace,C302T309,10213.6,0.01001
SGP:consumer_goods,SGP,consumer_goods,C10T12+C13T15+C31T33,23436.8,0.00197
SGP:shipping,SGP,shipping,H50,76754.3,0.09306
STP:electronics_c26,STP,electronics_c26,C26,0.5,0.0
STP:automotive,STP,automotive,C29,0.0,0.0
STP:aerospace,STP,aerospace,C302T309,0.0,0.0
STP:consumer_goods,STP,consumer_goods,C10T12+C13T15+C31T33,19.9,0.0
STP:shipping,STP,shipping,H50,1.5,0.0
SVK:electronics_c26,SVK,electronics_c26,C26,4822.3,0.00118
SVK:automotive,SVK,automotive,C29,35551.8,0.00846
SVK:aerospace,SVK,aerospace,C302T309,588.7,0.00058
SVK:consumer_goods,SVK,consumer_goods,C10T12+C13T15+C31T33,10105.7,0.00085
SVK:shipping,SVK,shipping,H50,118.8,0.00014
SVN:electronics_c26,SVN,electronics_c26,C26,915.7,0.00022
SVN:automotive,SVN,automotive,C29,4373.5,0.00104
SVN:aerospace,SVN,aerospace,C302T309,68.1,7e-05
SVN:consumer_goods,SVN,consumer_goods,C10T12+C13T15+C31T33,5507.5,0.00046
SVN:shipping,SVN,shipping,H50,119.2,0.00014
SWE:electronics_c26,SWE,electronics_c26,C26,6057.4,0.00149
SWE:automotive,SWE,automotive,C29,43123.6,0.01026
SWE:aerospace,SWE,aerospace,C302T309,5189.3,0.00508
SWE:consumer_goods,SWE,consumer_goods,C10T12+C13T15+C31T33,30711.0,0.00258
SWE:shipping,SWE,shipping,H50,4333.0,0.00525
THA:electronics_c26,THA,electronics_c26,C26,98598.7,0.02421
THA:automotive,THA,automotive,C29,46131.6,0.01097
THA:aerospace,THA,aerospace,C302T309,6657.0,0.00652
THA:consumer_goods,THA,consumer_goods,C10T12+C13T15+C31T33,177310.5,0.01488
THA:shipping,THA,shipping,H50,10813.1,0.01311
TUN:electronics_c26,TUN,electronics_c26,C26,675.9,0.00017
TUN:automotive,TUN,automotive,C29,946.4,0.00023
TUN:aerospace,TUN,aerospace,C302T309,121.2,0.00012
TUN:consumer_goods,TUN,consumer_goods,C10T12+C13T15+C31T33,8379.9,0.0007
TUN:shipping,TUN,shipping,H50,315.2,0.00038
TUR:electronics_c26,TUR,electronics_c26,C26,4783.0,0.00117
TUR:automotive,TUR,automotive,C29,29098.3,0.00692
TUR:aerospace,TUR,aerospace,C302T309,2406.9,0.00236
TUR:consumer_goods,TUR,consumer_goods,C10T12+C13T15+C31T33,174764.5,0.01467
TUR:shipping,TUR,shipping,H50,7431.1,0.00901
TWN:electronics_c26,TWN,electronics_c26,C26,222303.6,0.05459
TWN:automotive,TWN,automotive,C29,15280.8,0.00363
TWN:aerospace,TWN,aerospace,C302T309,12599.7,0.01234
TWN:consumer_goods,TWN,consumer_goods,C10T12+C13T15+C31T33,74669.2,0.00627
TWN:shipping,TWN,shipping,H50,8069.4,0.00978
UKR:electronics_c26,UKR,electronics_c26,C26,924.4,0.00023
UKR:automotive,UKR,automotive,C29,1202.7,0.00029
UKR:aerospace,UKR,aerospace,C302T309,2840.9,0.00278
UKR:consumer_goods,UKR,consumer_goods,C10T12+C13T15+C31T33,36531.1,0.00307
UKR:shipping,UKR,shipping,H50,2303.6,0.00279
USA:electronics_c26,USA,electronics_c26,C26,435209.7,0.10687
USA:automotive,USA,automotive,C29,680162.7,0.16176
USA:aerospace,USA,aerospace,C302T309,301573.4,0.29547
USA:consumer_goods,USA,consumer_goods,C10T12+C13T15+C31T33,1302900.2,0.10933
USA:shipping,USA,shipping,H50,61630.6,0.07472
VNM:electronics_c26,VNM,electronics_c26,C26,140646.0,0.03454
VNM:automotive,VNM,automotive,C29,5835.2,0.00139
VNM:aerospace,VNM,aerospace,C302T309,2930.2,0.00287
VNM:consumer_goods,VNM,consumer_goods,C10T12+C13T15+C31T33,183076.0,0.01536
VNM:shipping,VNM,shipping,H50,6680.4,0.0081
ZAF:electronics_c26,ZAF,electronics_c26,C26,2103.4,0.00052
ZAF:automotive,ZAF,automotive,C29,18564.2,0.00441
ZAF:aerospace,ZAF,aerospace,C302T309,1125.9,0.0011
ZAF:consumer_goods,ZAF,consumer_goods,C10T12+C13T15+C31T33,43713.6,0.00367
ZAF:shipping,ZAF,shipping,H50,543.3,0.00066
