source,target,flow_usd_m,input_share,penetration
USA:electronics_c26,USA:aerospace,4107.9,0.02653,0.55558
CHN:electronics_c26,DEU:electronics_c26,4086.6,0.07477,0.32793
CHN:electronics_c26,MYS:electronics_c26,4019.4,0.07527,0.16423
SGP:shipping,CHN:shipping,3936.0,0.03381,0.08152
KOR:electronics_c26,TWN:electronics_c26,3925.7,0.02925,0.06353
CHN:shipping,SGP:shipping,3884.9,0.05533,0.18498
PHL:electronics_c26,CHN:electronics_c26,3873.3,0.00276,0.00466
CHN:consumer_goods,JPN:consumer_goods,3849.8,0.00991,0.05018
CHN:electronics_c26,CHN:aerospace,3784.9,0.02824,0.76232
SGP:electronics_c26,MYS:electronics_c26,3749.6,0.07021,0.1532
CHN:consumer_goods,KOR:consumer_goods,3728.1,0.02474,0.08637
DEU:automotive,CZE:automotive,3525.4,0.08031,0.18552
IND:aerospace,IND:automotive,3438.3,0.03924,0.79014
USA:consumer_goods,USA:automotive,3432.8,0.00666,0.51988
JPN:consumer_goods,JPN:electronics_c26,3415.0,0.03268,0.88361
USA:electronics_c26,USA:consumer_goods,3324.8,0.00389,0.58432
CHN:electronics_c26,IND:electronics_c26,3307.7,0.10574,0.45808
CHN:electronics_c26,USA:automotive,3294.7,0.00639,0.19081
MEX:electronics_c26,MEX:automotive,3225.6,0.02442,0.37409
JPN:electronics_c26,JPN:consumer_goods,3180.3,0.00819,0.58368
CHN:shipping,HKG:shipping,3136.6,0.17878,0.27468
DEU:automotive,USA:automotive,3109.7,0.00603,0.02606
CHN:consumer_goods,USA:consumer_goods,3098.8,0.00362,0.0289
CHN:consumer_goods,CHN:shipping,3004.2,0.0258,0.96435
USA:electronics_c26,MEX:electronics_c26,2997.7,0.0384,0.07127
CHN:automotive,CHN:aerospace,2942.1,0.02195,0.92959
MEX:automotive,CAN:automotive,2901.6,0.04716,0.09995
ESP:automotive,DEU:automotive,2886.0,0.00997,0.02547
SGP:shipping,JPN:shipping,2880.5,0.10266,0.34517
IRL:electronics_c26,CHN:electronics_c26,2865.7,0.00204,0.00345
JPN:electronics_c26,TWN:electronics_c26,2836.0,0.02113,0.04589
VNM:electronics_c26,KOR:electronics_c26,2805.6,0.01499,0.02961
CHN:consumer_goods,IDN:consumer_goods,2790.5,0.01462,0.0486
HUN:automotive,DEU:automotive,2788.6,0.00964,0.02461
FRA:automotive,DEU:automotive,2755.8,0.00952,0.02432
KOR:automotive,USA:automotive,2728.3,0.00529,0.02287
GBR:aerospace,FRA:aerospace,2710.0,0.0271,0.04443
CHN:consumer_goods,CHN:aerospace,2661.1,0.01985,0.95757
DEU:automotive,FRA:automotive,2647.3,0.03464,0.10178
JPN:shipping,JPN:consumer_goods,2644.2,0.00681,0.853
SGP:electronics_c26,TWN:electronics_c26,2572.2,0.01917,0.04163
DEU:automotive,JPN:automotive,2566.0,0.0073,0.01535
CHN:aerospace,CHN:automotive,2550.9,0.00342,0.86395
DEU:automotive,SVK:automotive,2540.8,0.08493,0.14885
KOR:shipping,CHN:shipping,2537.2,0.02179,0.05255
USA:electronics_c26,VNM:electronics_c26,2536.8,0.02465,0.03248
DEU:automotive,ESP:automotive,2507.2,0.04148,0.12997
CHN:electronics_c26,MEX:automotive,2490.5,0.01885,0.28883
TWN:electronics_c26,KOR:electronics_c26,2480.6,0.01326,0.02618
POL:automotive,DEU:automotive,2470.6,0.00854,0.0218
FRA:aerospace,USA:aerospace,2460.4,0.01589,0.0441
DEU:automotive,GBR:automotive,2438.6,0.04276,0.19907
JPN:electronics_c26,VNM:electronics_c26,2430.4,0.02361,0.03111
CHN:shipping,CHN:automotive,2394.4,0.00321,0.83742
TWN:electronics_c26,VNM:electronics_c26,2301.4,0.02236,0.02946
DEU:automotive,HUN:automotive,2286.1,0.08589,0.28245
CHN:consumer_goods,THA:consumer_goods,2284.1,0.01687,0.05165
SGP:shipping,SGP:electronics_c26,2260.4,0.03193,0.94064
MYS:electronics_c26,SGP:electronics_c26,2201.0,0.03109,0.05986
DNK:shipping,SGP:shipping,2175.0,0.03098,0.10357
FRA:automotive,ESP:automotive,2171.9,0.03594,0.11259
KOR:electronics_c26,MEX:electronics_c26,2109.7,0.02702,0.05016
FRA:aerospace,CHN:aerospace,2102.2,0.01568,0.05392
TWN:consumer_goods,TWN:electronics_c26,2083.8,0.01553,0.74423
USA:aerospace,CAN:aerospace,2073.1,0.11003,0.21445
USA:electronics_c26,KOR:electronics_c26,2059.9,0.01101,0.02174
JPN:electronics_c26,KOR:electronics_c26,2054.5,0.01098,0.02169
CZE:automotive,SVK:automotive,2011.3,0.06723,0.11783
USA:automotive,CHN:automotive,2001.0,0.00268,0.00642
DEU:automotive,POL:automotive,1994.5,0.06225,0.19653
SVK:automotive,DEU:automotive,1986.7,0.00687,0.01753
USA:aerospace,GBR:aerospace,1984.0,0.07831,0.2471
DEU:automotive,KOR:automotive,1978.7,0.01345,0.03203
USA:automotive,USA:consumer_goods,1937.0,0.00226,0.63489
CHN:automotive,JPN:automotive,1934.9,0.0055,0.01158
USA:consumer_goods,MEX:consumer_goods,1932.3,0.01615,0.08722
CHN:electronics_c26,PHL:electronics_c26,1929.1,0.09834,0.17193
MYS:electronics_c26,MEX:electronics_c26,1909.8,0.02446,0.0454
CHN:automotive,USA:automotive,1909.6,0.0037,0.016
CHN:consumer_goods,ITA:consumer_goods,1898.1,0.00813,0.03478
TWN:electronics_c26,MYS:electronics_c26,1883.5,0.03527,0.07696
CHN:automotive,CHN:consumer_goods,1865.2,0.00069,0.90872
DNK:shipping,CHN:shipping,1833.1,0.01574,0.03797
ESP:automotive,FRA:automotive,1790.2,0.02343,0.06882
USA:electronics_c26,TWN:electronics_c26,1756.9,0.01309,0.02843
CHN:electronics_c26,CZE:electronics_c26,1733.3,0.14865,0.43456
AUT:automotive,DEU:automotive,1702.8,0.00589,0.01503
SGP:electronics_c26,KOR:electronics_c26,1701.4,0.00909,0.01796
FRA:aerospace,DEU:aerospace,1700.2,0.04387,0.1158
DEU:shipping,SGP:shipping,1697.5,0.02417,0.08083
USA:aerospace,JPN:aerospace,1693.3,0.05508,0.1394
JPN:electronics_c26,THA:electronics_c26,1681.6,0.01958,0.03745
IND:consumer_goods,IND:automotive,1678.3,0.01915,0.93061
SGP:electronics_c26,PHL:electronics_c26,1666.2,0.08494,0.1485
DEU:automotive,NLD:automotive,1660.5,0.11889,0.23705
FRA:consumer_goods,FRA:aerospace,1635.4,0.01636,0.79819
DEU:automotive,AUT:automotive,1623.1,0.10236,0.31477
USA:electronics_c26,MYS:electronics_c26,1622.6,0.03039,0.0663
KOR:consumer_goods,VNM:consumer_goods,1604.1,0.01166,0.03856
MEX:electronics_c26,USA:electronics_c26,1603.6,0.01321,0.06844
CHN:electronics_c26,NLD:electronics_c26,1596.0,0.07399,0.26661
JPN:shipping,JPN:automotive,1593.3,0.00453,0.73509
CHN:electronics_c26,ARE:electronics_c26,1590.7,0.27936,0.40645
KOR:electronics_c26,SGP:electronics_c26,1581.4,0.02234,0.04301
NOR:shipping,SGP:shipping,1578.4,0.02248,0.07516
USA:automotive,USA:aerospace,1575.1,0.01017,0.66008
CHN:electronics_c26,JPN:automotive,1544.5,0.00439,0.21441
CHN:electronics_c26,BRA:electronics_c26,1540.5,0.07161,0.15886
ITA:automotive,DEU:automotive,1537.6,0.00531,0.01357
SGP:electronics_c26,THA:electronics_c26,1536.0,0.01789,0.0342
DEU:consumer_goods,DEU:shipping,1525.2,0.04965,0.85189
MEX:consumer_goods,MEX:automotive,1522.6,0.01153,0.61642
SGP:shipping,ROW:shipping,1512.9,0.05507,0.12123
DEU:electronics_c26,HUN:electronics_c26,1508.3,0.12908,0.25802
USA:aerospace,CHN:aerospace,1483.5,0.01107,0.03805
CHN:automotive,CHN:electronics_c26,1482.7,0.00106,0.69949
CHN:aerospace,FRA:aerospace,1470.7,0.01471,0.02411
CHN:electronics_c26,CHE:electronics_c26,1467.6,0.03692,0.08321
JPN:automotive,CAN:automotive,1431.7,0.02327,0.04932
DEU:shipping,CHN:shipping,1417.9,0.01218,0.02937
TWN:consumer_goods,VNM:consumer_goods,1412.0,0.01026,0.03394
GBR:consumer_goods,GBR:automotive,1409.5,0.02471,0.76954
CHN:electronics_c26,USA:aerospace,1400.5,0.00905,0.18941
GBR:aerospace,GBR:consumer_goods,1398.7,0.01169,0.32009
ROW:shipping,ROW:consumer_goods,1381.3,0.00437,0.57007
HUN:automotive,SVK:automotive,1366.3,0.04567,0.08004
CHN:electronics_c26,RUS:electronics_c26,1361.6,0.10017,0.32228
USA:consumer_goods,CAN:consumer_goods,1359.6,0.01473,0.09007
CHN:consumer_goods,KHM:consumer_goods,1357.7,0.32369,0.55155
TWN:electronics_c26,MEX:electronics_c26,1356.0,0.01737,0.03224
CAN:aerospace,USA:aerospace,1352.8,0.00874,0.02425
DEU:automotive,ITA:automotive,1351.7,0.02571,0.16914
CHN:automotive,MEX:automotive,1351.1,0.01023,0.04348
MEX:electronics_c26,USA:automotive,1343.6,0.00261,0.07782
USA:shipping,USA:consumer_goods,1338.9,0.00157,0.88611
USA:consumer_goods,ROW:consumer_goods,1330.4,0.00421,0.01893
ROU:automotive,DEU:automotive,1328.3,0.00459,0.01172
CHN:consumer_goods,USA:automotive,1322.2,0.00256,0.20024
DEU:aerospace,DEU:consumer_goods,1315.8,0.00571,0.57032
USA:aerospace,DEU:aerospace,1312.7,0.03387,0.08941
DEU:consumer_goods,DEU:electronics_c26,1311.8,0.024,0.70561
CHN:electronics_c26,IDN:electronics_c26,1311.2,0.06532,0.17497
ESP:consumer_goods,ESP:automotive,1304.5,0.02158,0.59024
SGP:electronics_c26,IND:electronics_c26,1302.5,0.04164,0.18038
JPN:consumer_goods,JPN:shipping,1302.4,0.04642,0.84081
POL:automotive,CZE:automotive,1294.7,0.02949,0.06813
GRC:shipping,SGP:shipping,1293.6,0.01842,0.0616
GBR:automotive,USA:automotive,1293.2,0.00251,0.01084
USA:automotive,DEU:automotive,1291.7,0.00446,0.0114
TWN:electronics_c26,TWN:consumer_goods,1285.4,0.02472,0.90543
ZAF:automotive,DEU:automotive,1283.6,0.00444,0.01133
IRL:electronics_c26,VNM:electronics_c26,1281.5,0.01245,0.01641
USA:electronics_c26,SGP:electronics_c26,1257.0,0.01775,0.03419
KOR:consumer_goods,KOR:electronics_c26,1253.0,0.0067,0.46322
JPN:automotive,THA:automotive,1245.7,0.03583,0.12366
JPN:automotive,MEX:automotive,1244.8,0.00942,0.04006
CHN:automotive,KOR:automotive,1243.6,0.00845,0.02013
DEU:automotive,MEX:automotive,1238.7,0.00938,0.03986
VNM:electronics_c26,VNM:consumer_goods,1231.8,0.00895,0.42957
CHN:electronics_c26,DEU:consumer_goods,1230.5,0.00534,0.30442
KOR:automotive,SVK:automotive,1200.0,0.04011,0.0703
IND:automotive,IND:aerospace,1193.2,0.05238,0.94394
IND:consumer_goods,BGD:consumer_goods,1192.4,0.02158,0.04196
KOR:consumer_goods,KOR:automotive,1173.3,0.00797,0.63981
USA:shipping,USA:automotive,1172.2,0.00227,0.89879
JPN:electronics_c26,SGP:electronics_c26,1170.7,0.01653,0.03184
CHN:electronics_c26,JPN:consumer_goods,1163.6,0.00299,0.21355
KOR:shipping,SGP:shipping,1160.9,0.01653,0.05528
USA:aerospace,USA:automotive,1159.4,0.00225,0.84629
GBR:automotive,DEU:automotive,1159.1,0.00401,0.01023
VNM:consumer_goods,KOR:consumer_goods,1154.8,0.00766,0.02675
THA:consumer_goods,THA:electronics_c26,1142.4,0.0133,0.85221
VNM:electronics_c26,MEX:electronics_c26,1139.1,0.01459,0.02708
CHN:consumer_goods,MEX:consumer_goods,1114.2,0.00931,0.0503
CHN:electronics_c26,FRA:electronics_c26,1112.3,0.06909,0.28022
TWN:electronics_c26,CHN:automotive,1107.1,0.00148,0.05533
IND:consumer_goods,ROW:consumer_goods,1106.8,0.0035,0.01575
DEU:consumer_goods,NLD:consumer_goods,1105.9,0.01285,0.06247
TWN:electronics_c26,THA:electronics_c26,1101.3,0.01283,0.02452
CHN:consumer_goods,FRA:consumer_goods,1096.4,0.00551,0.02999
USA:aerospace,GBR:consumer_goods,1095.8,0.00916,0.25077
ITA:consumer_goods,ITA:automotive,1094.1,0.02081,0.80926
MEX:automotive,DEU:automotive,1088.4,0.00376,0.00961
ITA:automotive,ITA:consumer_goods,1087.6,0.00466,0.54283
NLD:consumer_goods,BEL:consumer_goods,1083.4,0.02167,0.09346
CHN:consumer_goods,TWN:consumer_goods,1082.8,0.02083,0.07935
ROW:shipping,SGP:shipping,1075.4,0.01532,0.05121
CHN:electronics_c26,HUN:electronics_c26,1073.6,0.09188,0.18366
CHN:electronics_c26,ROW:electronics_c26,1071.9,0.05883,0.22843
MYS:electronics_c26,TWN:electronics_c26,1067.7,0.00796,0.01728
CHN:consumer_goods,IND:consumer_goods,1062.3,0.00273,0.01118
FRA:aerospace,GBR:aerospace,1060.2,0.04185,0.13204
DEU:consumer_goods,ITA:consumer_goods,1059.7,0.00454,0.01942
CHN:electronics_c26,POL:electronics_c26,1048.1,0.12186,0.30932
JPN:automotive,DEU:automotive,1042.9,0.0036,0.0092
CHN:consumer_goods,ESP:consumer_goods,1039.9,0.0076,0.03089
TWN:electronics_c26,JPN:electronics_c26,1038.3,0.00994,0.03417
KOR:electronics_c26,CHN:automotive,1036.3,0.00139,0.0518
SGP:shipping,KOR:shipping,1021.9,0.04828,0.15472
KOR:electronics_c26,KOR:consumer_goods,1017.5,0.00675,0.76161
KOR:automotive,KOR:electronics_c26,998.1,0.00533,0.91091
JPN:electronics_c26,MYS:electronics_c26,989.8,0.01853,0.04044
ITA:aerospace,FRA:aerospace,988.4,0.00989,0.01621
USA:consumer_goods,JPN:consumer_goods,975.9,0.00251,0.01272
DEU:electronics_c26,CHE:electronics_c26,974.8,0.02452,0.05527
CHN:consumer_goods,MMR:consumer_goods,964.8,0.05806,0.31376
KOR:electronics_c26,PHL:electronics_c26,962.5,0.04907,0.08578
CHN:consumer_goods,DEU:consumer_goods,956.1,0.00415,0.02413
SGP:shipping,HKG:shipping,955.8,0.05448,0.0837
CHN:aerospace,CHN:consumer_goods,954.3,0.00036,0.86649
JPN:consumer_goods,JPN:automotive,944.8,0.00269,0.74157
MEX:automotive,MEX:electronics_c26,944.4,0.0121,0.94485
SGP:aerospace,SGP:shipping,940.6,0.0134,0.37007
CHN:electronics_c26,USA:consumer_goods,938.5,0.0011,0.16493
USA:electronics_c26,JPN:electronics_c26,935.0,0.00895,0.03077
TUR:automotive,DEU:automotive,923.4,0.00319,0.00815
THA:electronics_c26,MEX:electronics_c26,922.3,0.01181,0.02193
ROW:shipping,CHN:shipping,921.0,0.00791,0.01908
SGP:aerospace,FRA:aerospace,917.3,0.00917,0.01504
DEU:automotive,DEU:consumer_goods,914.8,0.00397,0.788
SGP:shipping,GRC:shipping,911.3,0.0634,0.1637
JPN:automotive,JPN:electronics_c26,901.4,0.00863,0.8958
PHL:electronics_c26,SGP:electronics_c26,900.6,0.01272,0.02449
CHN:consumer_goods,RUS:consumer_goods,898.4,0.00747,0.03759
THA:automotive,JPN:automotive,890.8,0.00253,0.00533
MYS:electronics_c26,THA:electronics_c26,889.3,0.01036,0.0198
CHE:consumer_goods,CHE:shipping,887.2,0.03935,0.68403
DEU:electronics_c26,KOR:electronics_c26,886.1,0.00474,0.00935
ITA:automotive,FRA:automotive,884.2,0.01157,0.034
ESP:aerospace,FRA:aerospace,884.1,0.00884,0.0145
FRA:aerospace,JPN:aerospace,880.3,0.02863,0.07247
JPN:aerospace,USA:aerospace,875.6,0.00566,0.01569
USA:aerospace,SGP:aerospace,875.4,0.13357,0.27692
FRA:automotive,SVK:automotive,874.4,0.02923,0.05122
JPN:consumer_goods,VNM:consumer_goods,869.0,0.00632,0.02089
KOR:automotive,CAN:automotive,858.1,0.01395,0.02956
CHN:consumer_goods,BRA:consumer_goods,855.8,0.00416,0.02455
DEU:automotive,BEL:automotive,853.0,0.06809,0.16987
TUR:consumer_goods,ROW:consumer_goods,851.2,0.00269,0.01211
ESP:consumer_goods,ITA:consumer_goods,849.6,0.00364,0.01557
VNM:automotive,JPN:automotive,846.3,0.00241,0.00506
NLD:consumer_goods,DEU:consumer_goods,845.9,0.00367,0.02135
DEU:consumer_goods,POL:consumer_goods,845.5,0.01037,0.04244
DEU:automotive,PRT:automotive,837.5,0.07848,0.18403
POL:automotive,SVK:automotive,837.4,0.02799,0.04906
JPN:automotive,KOR:automotive,835.3,0.00568,0.01352
USA:electronics_c26,DEU:electronics_c26,835.3,0.01528,0.06703
DEU:automotive,CAN:automotive,834.3,0.01356,0.02874
ESP:automotive,PRT:automotive,829.0,0.07768,0.18216
CHN:electronics_c26,CAN:electronics_c26,825.6,0.11943,0.4127
THA:consumer_goods,THA:automotive,824.8,0.02372,0.84554
IRL:consumer_goods,GBR:consumer_goods,822.5,0.00688,0.03411
DEU:consumer_goods,FRA:consumer_goods,819.5,0.00412,0.02242
CAN:aerospace,FRA:aerospace,817.8,0.00818,0.01341
ROW:consumer_goods,ROW:automotive,817.0,0.01951,0.62316
FRA:consumer_goods,FRA:automotive,809.8,0.0106,0.68514
CHN:consumer_goods,POL:consumer_goods,807.9,0.00991,0.04055
JPN:electronics_c26,MEX:electronics_c26,807.0,0.01034,0.01919
CHN:electronics_c26,KOR:automotive,806.6,0.00548,0.11305
VNM:electronics_c26,TWN:electronics_c26,804.9,0.006,0.01303
CHN:electronics_c26,IND:automotive,804.2,0.00918,0.42809
FRA:aerospace,FRA:consumer_goods,800.5,0.00402,0.53958
HKG:shipping,CHN:shipping,795.2,0.00683,0.01647
CZE:consumer_goods,CZE:automotive,790.9,0.01802,0.56162
JPN:automotive,TWN:automotive,787.3,0.07366,0.15697
JPN:automotive,RUS:automotive,784.3,0.02327,0.06072
JPN:automotive,JPN:aerospace,781.7,0.02543,0.92018
CZE:automotive,FRA:automotive,780.4,0.01021,0.03
FRA:consumer_goods,ITA:consumer_goods,774.2,0.00332,0.01419
CHN:aerospace,CHN:shipping,767.7,0.00659,0.87432
DNK:shipping,ROW:shipping,764.5,0.02783,0.06126
BRA:consumer_goods,BRA:automotive,762.9,0.0127,0.88567
SVK:automotive,CZE:automotive,761.8,0.01735,0.04009
CZE:automotive,HUN:automotive,756.6,0.02842,0.09347
SGP:shipping,DEU:shipping,756.0,0.02461,0.17239
SGP:electronics_c26,MEX:electronics_c26,754.9,0.00967,0.01795
IDN:shipping,IDN:consumer_goods,752.4,0.00394,0.93982
CHN:consumer_goods,MYS:consumer_goods,752.0,0.00937,0.03007
DEU:consumer_goods,CHE:consumer_goods,736.1,0.01408,0.04563
USA:electronics_c26,THA:electronics_c26,735.7,0.00857,0.01638
ITA:consumer_goods,FRA:consumer_goods,735.0,0.00369,0.02011
USA:aerospace,BRA:aerospace,733.9,0.12507,0.27744
DEU:shipping,GRC:shipping,733.6,0.05104,0.13178
CHN:shipping,JPN:shipping,733.3,0.02613,0.08787
FRA:shipping,CHN:shipping,729.5,0.00627,0.01511
MEX:consumer_goods,MEX:electronics_c26,729.1,0.00934,0.8424
USA:electronics_c26,PHL:electronics_c26,727.5,0.03709,0.06484
NLD:consumer_goods,GBR:consumer_goods,716.8,0.00599,0.02972
DEU:electronics_c26,DEU:automotive,715.4,0.00247,0.33635
USA:aerospace,SGP:shipping,705.3,0.01004,0.27749
RUS:aerospace,RUS:consumer_goods,705.1,0.00586,0.76018
POL:consumer_goods,DEU:consumer_goods,703.8,0.00306,0.01776
TWN:shipping,SGP:shipping,701.7,0.00999,0.03341
IDN:shipping,SGP:shipping,699.1,0.00996,0.03329
JPN:automotive,BEL:automotive,690.4,0.05511,0.1375
CHN:consumer_goods,TUR:consumer_goods,689.2,0.00585,0.02422
CHN:consumer_goods,NGA:consumer_goods,688.0,0.00785,0.01636
USA:aerospace,RUS:aerospace,686.2,0.03529,0.09728
CHN:electronics_c26,ISR:electronics_c26,684.3,0.0477,0.08718
ITA:shipping,ITA:consumer_goods,683.1,0.00292,0.61951
JPN:electronics_c26,PHL:electronics_c26,682.3,0.03478,0.06081
THA:consumer_goods,VNM:consumer_goods,682.0,0.00496,0.0164
BEL:consumer_goods,NLD:consumer_goods,676.0,0.00786,0.03819
GBR:consumer_goods,GBR:aerospace,675.2,0.02665,0.85386
TWN:electronics_c26,PHL:electronics_c26,673.5,0.03433,0.06002
SGP:shipping,CHN:electronics_c26,673.4,0.00048,0.07318
DEU:automotive,RUS:automotive,672.7,0.01996,0.05208
NLD:automotive,DEU:automotive,670.6,0.00232,0.00592
FRA:aerospace,FRA:automotive,669.2,0.00876,0.54063
KOR:automotive,MEX:automotive,667.9,0.00506,0.02149
HUN:automotive,CZE:automotive,667.8,0.01521,0.03514
ARG:automotive,BRA:automotive,664.6,0.01107,0.03328
JPN:automotive,ROW:automotive,662.0,0.01581,0.07507
TUR:automotive,FRA:automotive,658.0,0.00861,0.0253
DEU:consumer_goods,AUT:consumer_goods,657.9,0.02317,0.13564
IND:consumer_goods,IND:aerospace,657.7,0.02887,0.93215
CZE:automotive,ESP:automotive,655.7,0.01085,0.03399
MEX:aerospace,USA:aerospace,655.5,0.00423,0.01175
DEU:electronics_c26,DEU:consumer_goods,655.0,0.00284,0.16205
CZE:automotive,POL:automotive,654.8,0.02044,0.06452
CHN:shipping,KOR:shipping,654.7,0.03093,0.09912
CHN:shipping,CHN:aerospace,651.6,0.00486,0.80966
FRA:consumer_goods,BEL:consumer_goods,647.5,0.01295,0.05585
VNM:electronics_c26,SVK:electronics_c26,647.2,0.1584,0.29529
USA:aerospace,USA:shipping,646.9,0.01397,0.83521
DEU:electronics_c26,TWN:electronics_c26,646.7,0.00482,0.01046
ROW:shipping,JPN:shipping,645.7,0.02301,0.07737
DEU:shipping,CHE:shipping,644.6,0.02859,0.09161
USA:consumer_goods,USA:aerospace,644.2,0.00416,0.59628
MEX:aerospace,MEX:automotive,643.0,0.00487,0.60063
CHE:shipping,SGP:shipping,642.8,0.00915,0.03061
JPN:aerospace,JPN:automotive,642.3,0.00183,0.67133
JPN:shipping,JPN:electronics_c26,640.7,0.00613,0.84696
FRA:aerospace,CAN:aerospace,640.2,0.03398,0.06622
DEU:consumer_goods,GBR:consumer_goods,638.3,0.00534,0.02646
GBR:aerospace,USA:aerospace,638.0,0.00412,0.01144
SGP:shipping,USA:shipping,633.7,0.01368,0.09283
DEU:shipping,JPN:shipping,633.3,0.02257,0.07589
USA:consumer_goods,KOR:consumer_goods,627.6,0.00417,0.01454
DEU:consumer_goods,DEU:aerospace,627.2,0.01618,0.79641
DEU:electronics_c26,NLD:electronics_c26,626.1,0.02902,0.10459
USA:electronics_c26,MEX:automotive,620.9,0.0047,0.07201
ESP:consumer_goods,PRT:consumer_goods,619.5,0.0243,0.09667
DEU:electronics_c26,SGP:electronics_c26,619.1,0.00874,0.01684
DNK:shipping,NOR:shipping,618.5,0.04337,0.31663
POL:consumer_goods,POL:automotive,616.9,0.01925,0.68153
ESP:automotive,GBR:automotive,613.6,0.01076,0.05009
SGP:electronics_c26,SGP:consumer_goods,612.4,0.04391,0.42379
VNM:shipping,VNM:consumer_goods,611.5,0.00445,0.86663
ROW:consumer_goods,ITA:consumer_goods,608.8,0.00261,0.01115
DEU:electronics_c26,MEX:electronics_c26,608.5,0.00779,0.01447
KOR:automotive,CZE:automotive,606.6,0.01382,0.03192
DEU:automotive,SWE:automotive,604.7,0.02016,0.13052
CHN:automotive,CAN:automotive,598.3,0.00973,0.02061
KOR:electronics_c26,MYS:electronics_c26,597.0,0.01118,0.0244
CHN:electronics_c26,AUS:electronics_c26,595.5,0.15838,0.47075
DEU:shipping,ROW:shipping,594.1,0.02162,0.04761
USA:consumer_goods,USA:electronics_c26,591.8,0.00488,0.6426
KOR:automotive,KOR:consumer_goods,591.4,0.00392,0.92462
ESP:aerospace,ESP:consumer_goods,590.8,0.00432,0.60039
NLD:shipping,SGP:shipping,590.3,0.00841,0.02811
GBR:shipping,GRC:shipping,587.6,0.04088,0.10554
FRA:aerospace,GBR:consumer_goods,585.4,0.00489,0.13397
USA:automotive,KOR:automotive,585.0,0.00398,0.00947
JPN:aerospace,FRA:aerospace,584.7,0.00585,0.00959
VNM:electronics_c26,IND:electronics_c26,582.5,0.01862,0.08067
VNM:electronics_c26,USA:electronics_c26,582.1,0.0048,0.02485
CHN:consumer_goods,GBR:consumer_goods,580.7,0.00485,0.02408
CHN:consumer_goods,KOR:electronics_c26,580.3,0.0031,0.21452
THA:electronics_c26,THA:automotive,579.6,0.01667,0.65277
ROW:consumer_goods,ESP:consumer_goods,578.9,0.00423,0.0172
KOR:shipping,JPN:shipping,577.8,0.02059,0.06923
