source_iso3,source_industry,target_iso3,target_industry,industry,dependency_weight,flow_value_usd,hs_codes,n_hs_codes,source_urls,period
CHN,semiconductors,IND,semiconductors,semiconductors,0.4183,5597224531.37,8541;8542,2,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8542&y=2019,2019
CHN,semiconductors,KOR,semiconductors,semiconductors,0.409,16646898353.0,8541;8542,2,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8542&y=2019,2019
DEU,automotive,KOR,automotive,automotive,0.3842,5888002012.0,8703;8704;8708,3,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8708&y=2019,2019
KOR,electronics,VNM,electronics,electronics,0.382,6095151235.51,8517,1,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8517&y=2019,2019
JPN,automotive,THA,automotive,automotive,0.3753,3198340530.56,8703;8704;8708,3,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8708&y=2019,2019
CHN,electronics,NLD,electronics,electronics,0.375,15306823005.38,8471;8517;8528,3,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8528&y=2019,2019
CHN,automotive,JPN,automotive,automotive,0.3707,3014538201.78,8708,1,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8708&y=2019,2019
JPN,automotive,TWN,automotive,automotive,0.3682,2665379132.59,8703;8704;8708,3,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8708&y=2019,2019
THA,automotive,VNM,automotive,automotive,0.3669,1841631785.15,8703;8704;8708,3,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8708&y=2019,2019
CHN,electronics,CHN,electronics,electronics,0.3535,26149528951.0,8471;8517;8528,3,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8528&y=2019,2019
DEU,automotive,NLD,automotive,automotive,0.3527,7490031548.98,8703;8704;8708,3,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8708&y=2019,2019
SGP,automotive,THA,automotive,automotive,0.346,87255635.73,8704,1,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8704&y=2019,2019
BRA,automotive,IND,automotive,automotive,0.3447,22258735.45,8704,1,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8704&y=2019,2019
KOR,semiconductors,VNM,semiconductors,semiconductors,0.344,12098583242.76,8541;8542,2,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8542&y=2019,2019
MYS,semiconductors,MEX,semiconductors,semiconductors,0.3401,8375382787.0,8541;8542,2,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8542&y=2019,2019
MEX,automotive,USA,automotive,automotive,0.3192,90077348859.0,8703;8704;8708,3,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8708&y=2019,2019
S19,semiconductors,CHN,semiconductors,semiconductors,0.3102,103143750904.0,8541;8542,2,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8542&y=2019,2019
DEU,automotive,CHN,automotive,automotive,0.3061,22474260405.0,8703;8704;8708,3,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8708&y=2019,2019
DEU,automotive,JPN,automotive,automotive,0.2969,6152524194.02,8703;8704;8708,3,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8708&y=2019,2019
CHN,automotive,KOR,automotive,automotive,0.2882,1214310031.0,8704;8708,2,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8708&y=2019,2019
VNM,electronics,KOR,electronics,electronics,0.2851,6039964077.0,8471;8517;8528,3,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8528&y=2019,2019
JPN,automotive,MYS,automotive,automotive,0.2847,1582264399.86,8703;8704;8708,3,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8708&y=2019,2019
HKG,semiconductors,IND,semiconductors,semiconductors,0.2817,3769617910.48,8541;8542,2,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8542&y=2019,2019
VNM,electronics,CHN,electronics,electronics,0.2754,11742585932.0,8517,1,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8517&y=2019,2019
S19,semiconductors,THA,semiconductors,semiconductors,0.2668,3508603196.49,8541;8542,2,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8542&y=2019,2019
CHN,semiconductors,TWN,semiconductors,semiconductors,0.2667,14969696258.41,8541;8542,2,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8542&y=2019,2019
DEU,electronics,CHN,electronics,electronics,0.2649,208239378.0,8528,1,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8528&y=2019,2019
MYS,semiconductors,NLD,semiconductors,semiconductors,0.2623,4236276433.34,8541;8542,2,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8542&y=2019,2019
THA,automotive,MYS,automotive,automotive,0.2574,1430284796.87,8703;8704;8708,3,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8708&y=2019,2019
SWE,automotive,IND,automotive,automotive,0.2534,56181985.24,8703,1,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8703&y=2019,2019
S19,semiconductors,MYS,semiconductors,semiconductors,0.2496,8727958570.36,8541;8542,2,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8542&y=2019,2019
JPN,automotive,CHN,automotive,automotive,0.2457,17764303725.0,8703;8708,2,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8708&y=2019,2019
CHN,automotive,TWN,automotive,automotive,0.2436,373225516.23,8708,1,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8708&y=2019,2019
KOR,automotive,VNM,automotive,automotive,0.2367,713614683.09,8704;8708,2,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8708&y=2019,2019
S19,semiconductors,KOR,semiconductors,semiconductors,0.2327,9471567979.0,8541;8542,2,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8542&y=2019,2019
BEL,automotive,NLD,automotive,automotive,0.2209,4690937950.06,8703;8704;8708,3,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8708&y=2019,2019
DEU,automotive,TWN,automotive,automotive,0.2185,1581839558.41,8703;8704;8708,3,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8708&y=2019,2019
KOR,automotive,IND,automotive,automotive,0.2115,886116892.13,8708,1,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8708&y=2019,2019
MEX,electronics,USA,electronics,electronics,0.2071,44921891431.0,8471;8517;8528,3,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8528&y=2019,2019
DEU,automotive,MYS,automotive,automotive,0.2041,958366566.3,8703;8708,2,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8708&y=2019,2019
IDN,electronics,VNM,electronics,electronics,0.1969,230918293.14,8528,1,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8528&y=2019,2019
KOR,semiconductors,CHN,semiconductors,semiconductors,0.1956,65035604256.0,8541;8542,2,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8542&y=2019,2019
CHN,semiconductors,JPN,semiconductors,semiconductors,0.188,4412095549.06,8541;8542,2,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8542&y=2019,2019
CAN,automotive,USA,automotive,automotive,0.1806,50982291107.0,8703;8704;8708,3,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8708&y=2019,2019
CHN,automotive,IND,automotive,automotive,0.1786,760066762.59,8704;8708,2,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8708&y=2019,2019
MYS,automotive,THA,automotive,automotive,0.1782,278464280.59,8703,1,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8703&y=2019,2019
CHN,semiconductors,MEX,semiconductors,semiconductors,0.1738,4278733774.0,8541;8542,2,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8542&y=2019,2019
DEU,semiconductors,NLD,semiconductors,semiconductors,0.1726,2788100432.22,8541;8542,2,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8542&y=2019,2019
JPN,semiconductors,THA,semiconductors,semiconductors,0.171,2248407660.75,8541;8542,2,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8542&y=2019,2019
JPN,automotive,USA,automotive,automotive,0.1709,48233494010.0,8703;8704;8708,3,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8708&y=2019,2019
MYS,electronics,VNM,electronics,electronics,0.1696,544081851.17,8471;8528,2,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8528&y=2019,2019
HKG,electronics,IND,electronics,electronics,0.1669,3722141469.27,8471;8517;8528,3,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8528&y=2019,2019
VNM,electronics,IND,electronics,electronics,0.166,2577202805.98,8517;8528,2,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8528&y=2019,2019
FIN,automotive,IND,automotive,automotive,0.1629,10521129.05,8704,1,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8704&y=2019,2019
CHN,semiconductors,DEU,semiconductors,semiconductors,0.16,3808064946.47,8541;8542,2,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8542&y=2019,2019
CHN,semiconductors,MYS,semiconductors,semiconductors,0.1563,5466564055.08,8541;8542,2,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8542&y=2019,2019
CHN,automotive,MYS,automotive,automotive,0.1562,867939754.72,8703;8704;8708,3,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8708&y=2019,2019
USA,semiconductors,VNM,semiconductors,semiconductors,0.1542,4720338358.36,8542,1,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8542&y=2019,2019
GBR,automotive,IND,automotive,automotive,0.1506,43102316.0,8703;8704,2,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8704&y=2019,2019
IDN,electronics,THA,electronics,electronics,0.1492,143872674.39,8528,1,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8528&y=2019,2019
IDN,automotive,VNM,automotive,automotive,0.1487,746475016.23,8703;8704;8708,3,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8708&y=2019,2019
VNM,electronics,THA,electronics,electronics,0.1479,1157713171.82,8517;8528,2,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8528&y=2019,2019
DEU,automotive,IND,automotive,automotive,0.1475,650880802.39,8703;8708,2,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8708&y=2019,2019
MYS,semiconductors,DEU,semiconductors,semiconductors,0.1467,3492894726.34,8541;8542,2,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8542&y=2019,2019
S19,semiconductors,VNM,semiconductors,semiconductors,0.1448,5093175231.1,8541;8542,2,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8542&y=2019,2019
SGP,semiconductors,MYS,semiconductors,semiconductors,0.1442,5043690485.35,8541;8542,2,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8542&y=2019,2019
KOR,semiconductors,IND,semiconductors,semiconductors,0.1441,1465748220.75,8542,1,https://comtrade.un.org/data/?r=IND&p=all&px=HS&cc=8542&y=2019,2019
_X,semiconductors,TWN,semiconductors,semiconductors,0.1439,8075637988.94,8541;8542,2,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8542&y=2019,2019
USA,semiconductors,MYS,semiconductors,semiconductors,0.1437,5025043174.21,8541;8542,2,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8542&y=2019,2019
CHN,automotive,VNM,automotive,automotive,0.143,431239094.62,8704;8708,2,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8708&y=2019,2019
USA,automotive,CHN,automotive,automotive,0.1429,10494652128.0,8703;8704;8708,3,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8708&y=2019,2019
KOR,semiconductors,TWN,semiconductors,semiconductors,0.1425,7661717832.51,8542,1,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8542&y=2019,2019
CHN,semiconductors,CHN,semiconductors,semiconductors,0.14,46568922087.0,8541;8542,2,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8542&y=2019,2019
CHN,semiconductors,VNM,semiconductors,semiconductors,0.1396,4909582968.15,8541;8542,2,https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=VNM&p=all&px=HS&cc=8542&y=2019,2019
USA,automotive,KOR,automotive,automotive,0.1383,2119663739.0,8703;8704;8708,3,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8708&y=2019,2019
CHN,automotive,USA,automotive,automotive,0.1378,9592845098.0,8708,1,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8708&y=2019,2019
THA,automotive,TWN,automotive,automotive,0.1369,235590516.66,8704;8708,2,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8708&y=2019,2019
VNM,electronics,USA,electronics,electronics,0.1362,13881032981.0,8517,1,https://comtrade.un.org/data/?r=USA&p=all&px=HS&cc=8517&y=2019,2019
JPN,semiconductors,TWN,semiconductors,semiconductors,0.1313,7372817578.42,8541;8542,2,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8542&y=2019,2019
THA,electronics,CHN,electronics,electronics,0.131,9583533257.0,8471;8517,2,https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=CHN&p=all&px=HS&cc=8517&y=2019,2019
S19,semiconductors,DEU,semiconductors,semiconductors,0.131,3117749630.24,8541;8542,2,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8542&y=2019,2019
SVK,electronics,DEU,electronics,electronics,0.1306,780057041.34,8528,1,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8528&y=2019,2019
USA,semiconductors,JPN,semiconductors,semiconductors,0.13,2406207638.37,8542,1,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8542&y=2019,2019
THA,automotive,JPN,automotive,automotive,0.1293,1109646820.41,8704;8708,2,https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=JPN&p=all&px=HS&cc=8708&y=2019,2019
JPN,automotive,KOR,automotive,automotive,0.1267,1942159123.0,8703;8704;8708,3,https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=KOR&p=all&px=HS&cc=8708&y=2019,2019
USA,semiconductors,DEU,semiconductors,semiconductors,0.1258,2995327830.3,8541;8542,2,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8541&y=2019;https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8542&y=2019,2019
IND,automotive,MEX,automotive,automotive,0.124,1223996374.0,8703,1,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8703&y=2019,2019
IRL,semiconductors,NLD,semiconductors,semiconductors,0.1229,1646653261.03,8542,1,https://comtrade.un.org/data/?r=NLD&p=all&px=HS&cc=8542&y=2019,2019
USA,electronics,MEX,electronics,electronics,0.1227,3260695591.0,8471;8517;8528,3,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8517&y=2019;https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8528&y=2019,2019
KOR,semiconductors,MEX,semiconductors,semiconductors,0.1225,2615705512.0,8542,1,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8542&y=2019,2019
CHN,automotive,THA,automotive,automotive,0.1209,1030523710.01,8703;8704;8708,3,https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8703&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8704&y=2019;https://comtrade.un.org/data/?r=THA&p=all&px=HS&cc=8708&y=2019,2019
HKG,electronics,MYS,electronics,electronics,0.1196,814191272.13,8471;8517,2,https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8471&y=2019;https://comtrade.un.org/data/?r=MYS&p=all&px=HS&cc=8517&y=2019,2019
SGP,semiconductors,MEX,semiconductors,semiconductors,0.119,388895899.0,8541,1,https://comtrade.un.org/data/?r=MEX&p=all&px=HS&cc=8541&y=2019,2019
USA,automotive,TWN,automotive,automotive,0.1178,649998901.23,8703,1,https://comtrade.un.org/data/?r=TWN&p=all&px=HS&cc=8703&y=2019,2019
NLD,automotive,DEU,automotive,automotive,0.1173,892317613.96,8704,1,https://comtrade.un.org/data/?r=DEU&p=all&px=HS&cc=8704&y=2019,2019
