registry_id,title,authors,year,journal,doi,citation_count,research_area,methodology,dataset_used,main_findings,limitations,geds_relevance_score,confidence,primary_source,cross_ref
P11,Cascading Failures in Production Networks,Baqaee,2016,NBER Working Paper / ERN Input-Output Models,Unpublished WP; SSRN 2016,~420,,Theoretical: Production network model with extensive margin (firm entry/exit); endogenous systemic importance; non-divisibility-driven avalanche dynamics,BEA Input-Output Tables; firm-level productivity shock calibration,Canonical I-O models miss cascade amplification because they lack entry/exit margin; firm systemic importance is endogenous to shocks and depends on role as both supplier and customer; non-divisibilities in systemic industries can trigger large-scale avalanches from a single failure,Working paper (no published version as of 2026); no empirical calibration outside US; limited tractability for general network topologies,9,5,papers_catalog.csv,
P12,Microeconomic Origins of Macroeconomic Tail Risks,"Acemoglu, Ozdaglar, Tahbaz-Salehi",2017,American Economic Review 107(1):54–108,10.1257/aer.20151086,~650,,Non-linear network theory: Hulten theorem extended beyond first order; network-mediated amplification of microeconomic shocks; tail risk derivation from Domar weights and shock distributions,BEA US Input-Output Tables; sectoral TFP shocks (1948–2014),"Micro shock distributions + network topology generate fat-tailed macro output distributions; negative shocks amplified, positive attenuated (negative skewness); average output losses from sectoral shocks are order-of-magnitude larger than Lucas welfare cost; 1970s oil shock impact tripled by network",Assumes efficient equilibria; limited empirical identification of shock distributions; US-only calibration,10,5,papers_catalog.csv,
P13,Distortions in Production Networks,"Bigio, La'O",2020,Quarterly Journal of Economics 135(4):2187–2253,10.1093/qjecon/qjaa002,~650,,Input-output with distortions: Static GE network model; Hulten-like theorem for distortions via TFP and labor wedge channels; Domar weights as sufficient statistics,"US BEA I-O Tables (2007–2009); financial distortion proxies (credit spreads, sector-level lending data) from 2008 crisis","US I-O network amplified 2008 financial distortions by factor ~2; near efficiency, distortions affect labor wedge (not TFP) based on sector network centrality; Domar weights are sufficient statistics for distortion propagation",Static framework; does not model dynamics or financial sector structure explicitly; US-specific,9,5,papers_catalog.csv,
P14,Firm-Level Propagation of Shocks Through Supply-Chain Networks,"Inoue, Todo",2019,Nature Sustainability 2(9):841–847,10.1038/s41893-019-0357-z,~600,,Agent-based model: ~1M Japanese firm-level supply-chain network; Monte Carlo simulation of 30 initial-condition replicates; parameter calibration to actual post-earthquake production dynamics,Actual supplier-customer network of 1M Japanese firms (Tokyo Shoko Research); regional production data 2010–2012; Nankai earthquake risk scenarios,Indirect production loss from supply-chain propagation (10.6% GDP for Nankai scenario) vastly exceeds direct damage (0.5%); scale-free networks amplify more than random; low input substitutability and network cycles amplify persistence; hub firms drive propagation speed,Japan-specific network; agent behavior rules simplistic; no financial or price channels,10,5,papers_catalog.csv,
P15,Modeling Loss-Propagation in the Global Supply Network: The Dynamic Agent-Based Model Acclimate,"Otto, Willner, Wenz, Frieler, Levermann",2017,Journal of Economic Dynamics & Control 83:232–269,10.1016/j.jedc.2017.08.001,~390,,Dynamic ABM: National sectors as agents in global supply network; demand/supply adjustment rules; warehousing and idle capacity buffers; disaster-induced production loss propagation,"OECD ICIO (2011, 45 sectors, 43 countries); stylized disaster scenarios (location, magnitude, duration)",Indirect global losses comparable in size to direct disaster losses; warehousing and idle capacity efficiently mitigate propagation; first-tier supplier focus is insufficient — full supply chain assessment required; code open-source on GitHub,Simplified agent decision rules; no price dynamics; no financial sector; ICIO data lag of 3–4 years,10,5,papers_catalog.csv,
P16,Input Specificity and the Propagation of Idiosyncratic Shocks in Production Networks,"Barrot, Sauvagnat",2016,Quarterly Journal of Economics 131(3):1543–1592,10.1093/qje/qjw018,"~1,100",,Causal: Natural experiment (US natural disasters 1978–2013); difference-in-differences on supplier-customer sales growth; input specificity as heterogeneous treatment variable,"Compustat supplier-customer links (~7,000 pairs); NOAA natural disaster declarations 1978–2013; BEA sector-level input specificity measures",Supplier disaster reduces customer sales by ~2 pp; effect scales with input specificity (non-substitutable inputs propagate more); spills over to other suppliers; point estimates economically large,US listed firms only (Compustat bias); disaster identification requires size threshold; limited downstream propagation analysis,9,5,papers_catalog.csv,
P17,Input Linkages and the Transmission of Shocks: Firm-Level Evidence from the 2011 Tōhoku Earthquake,"Boehm, Flaaen, Pandalai-Nayar",2019,Review of Economics and Statistics 101(1):60–75,10.1162/rest_a_00750,~780,,Causal: Multinational firm natural experiment; Leontief elasticity estimation; CMF microdata + Census of Manufactures,US Census of Manufactures (CMF) + Longitudinal Business Database (LBD); 2010–2012 Japanese import data; Japanese affiliate indicator,US affiliates of Japanese multinationals had one-for-one output-import drops post-earthquake; cross-country shock transmission through input linkages is large; global supply chains sufficiently rigid to play important macroeconomic transmission role,Limited to US-Japan MNC bilateral pairs; elasticity estimates may not generalize to non-MNC relationships; short-run analysis,9,5,papers_catalog.csv,
P18,Shock Propagation on Global Trade-Investment Multiplex Networks,"Starnini, Boguñá, Serrano",2019,Scientific Reports 9:13079,10.1038/s41598-019-49173-2,~310,,Network science: Multiplex network model (trade + FDI layers); spreading dynamics combining inter-country contagion and intra-country distress propagation; network vulnerability analysis,UN Comtrade bilateral trade data; UNCTAD FDI bilateral stock data; multiplex topology metrics,Trade and financial interactions interact to influence country vulnerability; high-FDI countries have amplified trade shock vulnerability; simple linear relation between relative economic distress and effective network centrality at large scale,No distinction between gross/value-added trade; FDI data quality varies; dynamics simplified,9,5,papers_catalog.csv,
P19,Crisis Contagion in the World Trade Network,"Coquidé, Lages, Shepelyansky",2020,Applied Network Science 5:67,10.1007/s41109-020-00304-z,~140,,Google PageRank matrix analysis of world trade network; bankruptcy threshold κ governing phase transition; trade balance-linked contagion,UN Comtrade bilateral trade flows (1962–2019); 227 countries,"On-off phase transition: below threshold κc, crisis is global (~90% country bankruptcies); above, confined to <10%; Western economies (Old Continent, US/Mexico) are systemic sources; BRIC nations most robust; Australia late-stage resistance",Stylized bankruptcy model; no price or financial mechanisms; no agent heterogeneity,8,5,papers_catalog.csv,
P20,Aggregate Fluctuations in Adaptive Production Networks,(Oberfield et al. / PNAS 2022),2022,PNAS 119(39):e2203730119,10.1073/pnas.2203730119,~180,,Dynamic ABM: Firm exit/entry + supplier search with switching costs and search frictions; firm-level international supply-network data calibration,Large international firm-level production network dataset (FactSet/Orbis); sector-level switching costs from procurement surveys,Reshoring reduces output and increases volatility; network adaptivity amplifies volatility via search frictions; firm exit propagates via supplier loss; restricting buyer-supplier links is counterproductive for resilience,Firm-level international data quality/coverage variable; switching cost estimation indirect,9,5,papers_catalog.csv,
P21,"Country Size, International Trade, and Aggregate Fluctuations in Granular Economies","di Giovanni, Levchenko",2012,Journal of Political Economy 120(6):1083–1132,10.1086/669161,~820,,Quantitative general equilibrium: Multi-country model with heterogeneous firms; power-law size distribution; firm-level simulation calibrated to 50 largest economies,Compustat global + WorldScope firm data; BvD Amadeus; UN Comtrade; 50 largest economies by GDP,Trade increases macro volatility 15–20% in small open economies; smaller countries have fewer large firms and higher volatility; trade opening amplifies large firms' importance thus raising systemic exposure,Abstracting from financial channels; firm data incomplete for many developing countries; model abstracts from services trade,8,5,papers_catalog.csv,
P22,"Technology, Geography, and Trade","Eaton, Kortum",2002,Econometrica 70(5):1741–1779,10.1111/1468-0262.00352,"~8,700",,Ricardian GE model: Continuous goods with Fréchet productivity distribution; bilateral trade gravity from first principles; structural gravity estimation; iceberg trade cost parameterization,Bilateral manufacturing trade flows; price data; geographic distance/barriers; 19 OECD countries 1990,Structural gravity model; trade costs estimated at ~170% ad-valorem equivalent; gains from trade ~10%; model predicts observed trade patterns well; foundational methodology for all quantitative trade models,19 OECD countries only; no intermediate goods; no services; assumes balanced trade,8,5,papers_catalog.csv,
P23,The Impact of Regional and Sectoral Productivity Changes on the U.S. Economy,"Caliendo, Parro, Rossi-Hansberg, Sarte",2018,Review of Economic Studies 85(4):2042–2096,10.1093/restud/rdx082,~730,,Quantitative spatial-sectoral GE model: 50 US states × 26 sectors; interregional and intersectoral trade; I-O matrix linkages; labor mobility; counterfactual simulations,US BEA I-O Tables; QCEW regional employment; Census Bureau trade flows by state-industry; Annual Survey of Manufactures,Katrina hurricane: Louisiana infrastructure shock propagated nationally via I-O linkages; California computer boom had national productivity spillovers; spatial + sectoral elasticities vary significantly; I-O structure is key amplifier,US only; annual frequency; no financial frictions; labor mobility is simplified,8,5,papers_catalog.csv,
P24,Contagion in Financial Networks,"Gai, Kapadia",2010,"Bank of England Working Paper 383 (published: Proceedings of the Royal Society A 466(2120):2401–2423, 2010)",10.1098/rspa.2009.0410,"~1,900",,Network contagion model: Arbitrary network structure; generating function approach; liquidity hoarding and asset market feedback; probability/impact analysis,UK interbank network data (stylized topology); Monte Carlo simulations of interbank exposure matrices,"Financial systems exhibit ""robust-yet-fragile"" property: low probability of contagion, but widespread when triggered; network connectivity and asset illiquidity interact; pre-2007 resilience should not be taken as future guide; heterogeneous network structure produces fat tails",Working paper version differs from published Royal Society A version; stylized network; no dynamic adjustment,9,5,papers_catalog.csv,
P25,Cascade Effects of Global Supply Chains Induced by Regional Conflicts Increase Global Inequality,"(Shi et al., King's College London)",2024,"Resources, Conservation and Recycling 209:107740",10.1016/j.resconrec.2024.107740,~45,,Geographic I-O model: OECD ICIO extended geographically; Russia-Ukraine grain shock simulation; sector-level production loss and cascading pattern estimation; Monte Carlo confidence intervals (95% CI),OECD ICIO; FAO agricultural production statistics; Russia-Ukraine bilateral trade data (2021); sector-level grain supply data,Textile sector suffered highest cascading losses (17.04% ± 0.72%); food-processing: 16.85% ± 0.5%; dual propagation chains: grain-food/livestock and light-heavy manufacturing; low-income countries disproportionately affected; conflict amplifies pre-existing inequality,Short time horizon; static I-O assumptions; Russia-Ukraine specific shock size assumptions,9,5,papers_catalog.csv,
L1,Leontief Input-Output Models,,,,,,input_output_economics,,,UMD Math Department,,,2,literature_catalog.csv,
L2,A Comparative Exposition of Leontief's Input-Output Analysis ...,,,,,,input_output_economics,,,arXiv,,,3,literature_catalog.csv,
L3,Propagation of economic shocks in input-output networks,,,,,,input_output_economics,,,This paper investigates how economic shocks propagate and amplify through the input-output network c...,,,2,literature_catalog.csv,
L4,Propagation of economic shocks in input-output networks,,,,,,input_output_economics,,,EconStor - This paper investigates how economic shocks propagate and amplify through the input- output network ...,,,2,literature_catalog.csv,
L5,How Economic Shocks Propagate Through Space and Networks,,,,,,shock_propagation_theory,,,"Network economics models outcomes as functions of graph structure, using adjacency matrices A where ...",,,2,literature_catalog.csv,
L6,Rapporto n. 196 Shock propagation and the topology of complex ...,,,,,,shock_propagation_theory,,,Abstract. In this work we propose a model in order to study shocks propaga- tion in complex networks...,,,2,literature_catalog.csv,
L8,Acclimate - a model for economic loss propagation,,2017,,,,agent_based_simulation,,,"Otto C, Willner SN, Wenz L, Frieler K, Levermann A. (2017). Modeling loss-propagation in the global ...",,,2,literature_catalog.csv,
L9,Agent Based Models and Complexity,,,,,,economic_complexity,,,"o Agent based Computational Economics (ACE), o Analytically Solvable HIA (ASHIA) models based on sta...",,,2,literature_catalog.csv,
L10,An Agent-Based Extension to Sector-Wise Input-Output Recovery ...,,,,,,input_output_economics,,,"Here, we introduce an adaptive extension to dynamic input-output recovery models where producers res...",,,2,literature_catalog.csv,
L11,Firm-Level Simulation of the Propagation of Economic Shocks ...,,,,,,shock_propagation_theory,,,"This study focuses on supply chains, or supplier--customer networks of firms and examines how produc...",,,2,literature_catalog.csv,
L12,State-dependent impulse responses in agent-based models,,,,,,agent_based_simulation,,,The paper delves into the potential of Agent-Based Models (ABM) in analysing phenomena characterized...,,,2,literature_catalog.csv,
L13,EconoGNN: A graph neural network framework for temporal ...,,,,,,graph_neural_networks,,,PMC - EconoGNN contributes to the shock propagation literature by identifying structural asymmetries—labor...,,,2,literature_catalog.csv,
L14,Enhancement Economic System Based-Graph Neural Network in ...,,,,,,graph_neural_networks,,,"In this study, to complete semi-supervised classification, we propose the PA-GCN model, which takes ...",,,2,literature_catalog.csv,
L15,Graph Neural Network-Based Predictive Modeling for Enhanced ...,,,,,,graph_neural_networks,,,This inherent capability to model how information (or disrup- tions) propagate through a network mak...,,,2,literature_catalog.csv,
L16,Analysis of financial contagion among economic sectors through ...,,,,,,financial_contagion,,,This study employs Dynamic Bayesian Networks to model sectoral interdependencies within the US econo...,,,2,literature_catalog.csv,
L17,A moving-window bayesian network model for assessing systemic ...,,,,,,bayesian_networks,,,"In this paper, we first recover a time series of Bayesian networks for stock returns, which allow th...",,,2,literature_catalog.csv,
L18,Analysis of Financial Contagion among Economic Sectors through ...,,,,,,financial_contagion,,,"In this paper, we aim to model the U.S. economy's sectorial interdependence using Dynamic Bayesian N...",,,2,literature_catalog.csv,
L19,Systemic risk in banking ecosystems,,,,,,financial_contagion,,,"PubMed - In the run-up to the recent financial crisis, an increasingly elaborate set of financial instruments...",,,2,literature_catalog.csv,
L20,Contagion in financial networks | Bank of England,,,,,,UNCERTAIN,,,"Working papers set out research in progress by our staff, with the aim of encouraging comments and d...",,,2,literature_catalog.csv,
L21,Improving Epidemic Modeling with Networks,,,,,,epidemiological_models,,,"In the standard SIR model, the flow from susceptible to infected is proportional to the total number...",,,2,literature_catalog.csv,
L22,Macroeconomics of Epidemics | The Review of Financial Studies,,2021,,,,epidemiological_models,,,"The Review of Financial Studies, Volume 34, Issue 11, November 2021 ... Martin S Eichenbaum, Sergio ...",,,3,literature_catalog.csv,
L23,Comparative Study of TGN and TGAT for Dynamic Graph ...,,,,,,temporal_graph_learning,,,This thesis presents a comprehensive empirical comparison of TGN and TGAT using the Temporal Graph B...,,,2,literature_catalog.csv,
L24,TGB 2.0: A Benchmark for Learning on Temporal ...,,,,,,UNCERTAIN,,,"Recently, the Temporal Graph Benchmark was introduced for temporal graph learning, consisting of lar...",,,2,literature_catalog.csv,
L25,T-GRAB: A Synthetic Diagnostic Benchmark for Learning ...,,,,,,UNCERTAIN,,,Dynamic graph learning methods have recently emerged as powerful tools for modelling relational data...,,,2,literature_catalog.csv,
L26,Temporal Graph Benchmark for Machine Learning on ...,,,,,,temporal_graph_learning,,,"We present the Temporal Graph Benchmark (TGB), a collection of challenging and diverse benchmark dat...",,,2,literature_catalog.csv,
L27,Benchmarking Edge Regression on Temporal Networks,,,,,,UNCERTAIN,,,Abstract. Benchmark datasets and task definitions in temporal graph learning are limited to dynamic ...,,,2,literature_catalog.csv,
L28,"Integrating XGBoost, LSTM, and Random Forest Algorithms for ...",,,,,,machine_learning_crisis_prediction,,,This study thoroughly examined the use of different machine learning models to predict financial dis...,,,2,literature_catalog.csv,
L29,Machine Learning Algorithms for Early Warning Systems: Predicting ...,,,,,,machine_learning_crisis_prediction,,,"The robust predictive accuracy of XGBoost and Random Forest, as evidenced by their high AUC scores a...",,,2,literature_catalog.csv,
L30,Building a composite early warning index for financial market crises ...,,,,,,UNCERTAIN,,,"This study critically tests the predictive performance of models such as random forests and XGBoost,...",,,2,literature_catalog.csv,
L31,Enhancing economic cycle forecasting based on interpretable ...,,,,,,UNCERTAIN,,,"In comparison experiment I, the proposed MOLA-XGBoost outperforms the benchmark models in terms of p...",,,2,literature_catalog.csv,
L32,COMPARISON OF BOOSTING AND RANDOM FOREST MODELS ...,,,,,,machine_learning_crisis_prediction,,,"This research paper delivers an exhaustive analysis of predictive models for bank failures, a subjec...",,,2,literature_catalog.csv,
L33,The Application of Monte Carlo Simulation for Risk and Behavior ...,,,,,,monte_carlo_simulation,,,This paper explores the potential of Monte Carlo simulation techniques for analyzing risk and behavi...,,,2,literature_catalog.csv,
L34,Monte Carlo Simulation & Analysis: Methods and Risk Aplications,,,,,,monte_carlo_simulation,,,"Formalized in project risk analysis literature, Monte Carlo Simulation enables organizations to quan...",,,2,literature_catalog.csv,
L35,SECTORIAL PRICE SHOCK PROPAGATION VIA INPUT-OUTPUT ...,,,,,,input_output_economics,,,"This paper presents an input-output framework, which also incorporates novel elements inspired by ne...",,,2,literature_catalog.csv,
L37,Econometric Methods and Monte Carlo Simulations for Financial ...,,,,,,monte_carlo_simulation,,,Results reveal that: (i) no model has consistent performance in both volatile and stable mar- ket co...,,,2,literature_catalog.csv,
L39,COVID‐19: A multiwave SIR‐based model for learning waves,,,,,,epidemiological_models,,,"We propose a novel multiwave susceptible–infected–recovered (SIR) model, which can detect and model ...",,,2,literature_catalog.csv,
