"Series Description","Computer and peripheral equipment  (NAICS = 3341); n.s.a. IP","Computer and peripheral equipment  (NAICS = 3341); s.a. IP","Semiconductor and other electronic component  (NAICS = 3344); n.s.a. IP","Semiconductor and other electronic component  (NAICS = 3344); s.a. IP","Motor vehicles and parts  (NAICS = 3361-3); n.s.a. IP","Motor vehicles and parts  (NAICS = 3361-3); s.a. IP","Computers, communications eq., and semiconductors  (NAICS = 3341,3342,3344); n.s.a. IP","Computers, communications eq., and semiconductors  (NAICS = 3341,3342,3344); s.a. IP"
1973-09,0.0436,0.0433,0.0425,0.0412,49.0276,46.1996,0.0782,0.0772
1973-10,0.0460,0.0461,0.0435,0.0429,51.0514,46.1778,0.0803,0.0801
1973-11,0.0491,0.0485,0.0442,0.0440,47.4352,46.0904,0.0833,0.0823
1973-12,0.0519,0.0507,0.0437,0.0445,35.7063,43.7456,0.0849,0.0835
1974-01,0.0530,0.0531,0.0441,0.0446,35.3169,39.4249,0.0850,0.0854
1974-02,0.0554,0.0558,0.0451,0.0452,36.8596,38.5401,0.0869,0.0872
1974-03,0.0581,0.0579,0.0453,0.0450,38.6726,38.3094,0.0886,0.0882
1974-04,0.0580,0.0584,0.0437,0.0443,40.3609,38.5650,0.0865,0.0880
1974-05,0.0611,0.0612,0.0431,0.0434,43.2066,39.4602,0.0883,0.0888
1974-06,0.0641,0.0633,0.0443,0.0432,45.7959,39.7844,0.0911,0.0898
1974-07,0.0640,0.0651,0.0401,0.0420,38.3727,40.6875,0.0870,0.0900
1974-08,0.0650,0.0663,0.0403,0.0402,33.6962,40.6822,0.0830,0.0841
1974-09,0.0674,0.0668,0.0417,0.0406,45.3456,42.1699,0.0908,0.0896
1974-10,0.0663,0.0665,0.0404,0.0399,46.7060,41.9687,0.0904,0.0899
1974-11,0.0669,0.0662,0.0369,0.0366,38.9131,38.5184,0.0884,0.0869
1974-12,0.0666,0.0652,0.0348,0.0350,27.7165,32.8521,0.0870,0.0852
1975-01,0.0627,0.0631,0.0338,0.0343,26.7797,29.8939,0.0828,0.0831
1975-02,0.0607,0.0608,0.0317,0.0319,27.2229,28.2547,0.0794,0.0797
1975-03,0.0600,0.0601,0.0320,0.0319,31.1403,30.3946,0.0792,0.0790
1975-04,0.0599,0.0604,0.0310,0.0310,34.0676,32.1032,0.0777,0.0781
1975-05,0.0590,0.0595,0.0319,0.0321,36.0808,32.8248,0.0772,0.0778
1975-06,0.0595,0.0588,0.0326,0.0317,38.9578,33.6859,0.0781,0.0772
1975-07,0.0577,0.0593,0.0315,0.0335,31.5128,34.6834,0.0757,0.0791
1975-08,0.0590,0.0599,0.0345,0.0343,32.4895,36.3688,0.0789,0.0798
1975-09,0.0622,0.0622,0.0364,0.0353,40.2686,37.7061,0.0823,0.0815
1975-10,0.0645,0.0644,0.0363,0.0358,40.7166,37.3846,0.0831,0.0827
1975-11,0.0679,0.0659,0.0366,0.0362,37.8866,37.8448,0.0849,0.0830
1975-12,0.0704,0.0691,0.0374,0.0377,33.4973,39.4756,0.0880,0.0864
1976-01,0.0704,0.0708,0.0376,0.0381,35.1164,39.6259,0.0871,0.0875
1976-02,0.0727,0.0723,0.0377,0.0380,40.2035,41.7168,0.0881,0.0882
1976-03,0.0755,0.0758,0.0390,0.0388,44.1722,42.0927,0.0906,0.0905
1976-04,0.0782,0.0786,0.0398,0.0403,45.2016,42.7915,0.0914,0.0929
1976-05,0.0820,0.0825,0.0425,0.0425,48.6343,43.6195,0.0961,0.0965
1976-06,0.0863,0.0855,0.0439,0.0427,52.4038,44.3965,0.0991,0.0978
1976-07,0.0892,0.0912,0.0415,0.0434,40.7404,44.6728,0.0976,0.1008
1976-08,0.0915,0.0931,0.0450,0.0449,39.7748,46.2507,0.1023,0.1032
1976-09,0.0970,0.0976,0.0472,0.0465,44.7403,42.8689,0.1076,0.1073
1976-10,0.1004,0.1000,0.0482,0.0475,45.6215,41.3944,0.1105,0.1097
1976-11,0.1040,0.1015,0.0485,0.0481,45.7182,45.9067,0.1135,0.1116
1976-12,0.1079,0.1060,0.0483,0.0484,41.4785,48.4691,0.1160,0.1140
1977-01,0.1047,0.1049,0.0485,0.0490,41.5473,47.2417,0.1131,0.1133
1977-02,0.1079,0.1080,0.0511,0.0515,45.1696,47.0498,0.1181,0.1185
1977-03,0.1102,0.1105,0.0515,0.0512,52.7499,49.2588,0.1195,0.1193
1977-04,0.1155,0.1168,0.0519,0.0523,52.0609,48.7336,0.1220,0.1233
1977-05,0.1200,0.1211,0.0529,0.0530,54.0813,48.6113,0.1252,0.1261
1977-06,0.1274,0.1264,0.0566,0.0551,59.2218,50.5341,0.1322,0.1305
1977-07,0.1285,0.1298,0.0522,0.0546,48.7693,50.9781,0.1279,0.1315
1977-08,0.1313,0.1342,0.0566,0.0567,41.5802,50.7328,0.1339,0.1355
1977-09,0.1372,0.1372,0.0580,0.0572,51.2043,50.6763,0.1384,0.1376
1977-10,0.1427,0.1424,0.0578,0.0571,56.2228,51.0731,0.1403,0.1397
1977-11,0.1510,0.1475,0.0591,0.0586,49.1546,49.7583,0.1449,0.1426
1977-12,0.1574,0.1549,0.0583,0.0583,43.7723,50.8861,0.1474,0.1449
1978-01,0.1577,0.1587,0.0568,0.0575,41.6268,46.5411,0.1440,0.1449
1978-02,0.1656,0.1674,0.0575,0.0578,47.2018,48.2523,0.1471,0.1480
1978-03,0.1746,0.1752,0.0606,0.0606,54.6896,50.7801,0.1534,0.1536
1978-04,0.1819,0.1823,0.0605,0.0605,58.2767,53.0052,0.1549,0.1551
1978-05,0.1854,0.1885,0.0610,0.0613,56.8187,51.3492,0.1564,0.1581
1978-06,0.1984,0.1972,0.0644,0.0630,59.1304,51.3612,0.1639,0.1624
1978-07,0.2005,0.2027,0.0608,0.0632,47.8421,52.4727,0.1610,0.1652
1978-08,0.2043,0.2079,0.0646,0.0649,43.0021,52.6164,0.1668,0.1687
1978-09,0.2148,0.2145,0.0664,0.0657,53.0092,52.3223,0.1725,0.1715
1978-10,0.2234,0.2227,0.0678,0.0673,58.7239,53.1645,0.1763,0.1759
1978-11,0.2370,0.2335,0.0698,0.0690,53.7706,54.6915,0.1838,0.1813
1978-12,0.2459,0.2390,0.0707,0.0701,46.5782,54.1136,0.1889,0.1842
1979-01,0.2461,0.2492,0.0706,0.0715,46.7542,54.8375,0.1878,0.1893
1979-02,0.2529,0.2558,0.0731,0.0736,51.3949,53.0831,0.1925,0.1937
1979-03,0.2592,0.2606,0.0742,0.0742,58.1892,52.8273,0.1968,0.1968
1979-04,0.2596,0.2610,0.0714,0.0723,49.8740,47.0585,0.1923,0.1947
1979-05,0.2647,0.2690,0.0744,0.0747,57.0351,50.9058,0.1989,0.2007
1979-06,0.2813,0.2801,0.0794,0.0778,57.4507,48.7534,0.2099,0.2077
1979-07,0.2891,0.2926,0.0739,0.0766,43.7626,46.8598,0.2065,0.2116
1979-08,0.2992,0.3019,0.0784,0.0786,34.8045,42.0312,0.2144,0.2168
1979-09,0.3105,0.3059,0.0811,0.0799,45.0379,45.2324,0.2231,0.2205
1979-10,0.3152,0.3157,0.0828,0.0822,47.9626,43.7174,0.2267,0.2264
1979-11,0.3336,0.3290,0.0861,0.0850,40.1449,41.0470,0.2374,0.2344
1979-12,0.3466,0.3374,0.0885,0.0874,34.6664,40.7235,0.2462,0.2399
1980-01,0.3411,0.3456,0.0882,0.0890,33.0134,38.0528,0.2441,0.2458
1980-02,0.3486,0.3533,0.0892,0.0897,38.9805,40.0284,0.2483,0.2500
1980-03,0.3637,0.3650,0.0896,0.0894,42.0671,37.9826,0.2533,0.2529
1980-04,0.3631,0.3695,0.0899,0.0906,37.0237,34.5498,0.2537,0.2562
1980-05,0.3779,0.3833,0.0887,0.0890,34.4774,30.9529,0.2557,0.2577
1980-06,0.3950,0.3903,0.0877,0.0861,36.4411,31.0539,0.2590,0.2564
1980-07,0.3948,0.4045,0.0814,0.0847,29.1437,31.1364,0.2503,0.2581
1980-08,0.4130,0.4147,0.0856,0.0855,26.9953,30.8990,0.2611,0.2629
1980-09,0.4311,0.4283,0.0867,0.0857,33.8528,34.0104,0.2669,0.2654
1980-10,0.4421,0.4399,0.0878,0.0872,38.7129,35.7200,0.2713,0.2706
1980-11,0.4644,0.4511,0.0894,0.0881,36.0783,37.3211,0.2800,0.2743
1980-12,0.4815,0.4710,0.0908,0.0900,30.3782,35.4571,0.2876,0.2811
1981-01,0.4797,0.4852,0.0895,0.0903,29.9818,34.0368,0.2839,0.2855
1981-02,0.4911,0.4934,0.0899,0.0909,32.8642,33.6026,0.2869,0.2884
1981-03,0.5052,0.5069,0.0911,0.0912,38.5393,35.0202,0.2914,0.2913
1981-04,0.5215,0.5281,0.0929,0.0931,38.6189,36.1589,0.2961,0.2994
1981-05,0.5353,0.5419,0.0941,0.0939,40.6787,36.7337,0.3015,0.3030
1981-06,0.5534,0.5494,0.0963,0.0952,42.8474,36.6303,0.3085,0.3065
1981-07,0.5536,0.5650,0.0914,0.0942,32.8953,35.4397,0.3028,0.3102
1981-08,0.5770,0.5804,0.0992,0.0987,29.7677,34.2632,0.3172,0.3177
1981-09,0.5781,0.5826,0.1015,0.1015,31.2484,32.2743,0.3203,0.3226
1981-10,0.5949,0.5916,0.1034,0.1028,34.2512,32.4104,0.3266,0.3254
1981-11,0.6098,0.5911,0.1038,0.1026,29.0781,30.3014,0.3305,0.3242
1981-12,0.6160,0.5996,0.1048,0.1035,25.0554,28.9550,0.3368,0.3283
1982-01,0.6011,0.6029,0.1014,0.1018,24.2016,26.6288,0.3230,0.3231
1982-02,0.6279,0.6296,0.1059,0.1069,27.5760,27.8698,0.3390,0.3405
1982-03,0.6314,0.6353,0.1057,0.1061,32.4690,29.6859,0.3403,0.3408
1982-04,0.6308,0.6397,0.1063,0.1069,33.3941,31.2677,0.3391,0.3428
1982-05,0.6443,0.6519,0.1086,0.1081,35.8218,32.4629,0.3449,0.3465
1982-06,0.6644,0.6582,0.1114,0.1106,38.2273,32.8021,0.3532,0.3509
1982-07,0.6667,0.6809,0.1079,0.1108,31.6699,34.2470,0.3494,0.3573
1982-08,0.6555,0.6583,0.1111,0.1105,28.1704,32.0203,0.3497,0.3503
1982-09,0.6839,0.6856,0.1102,0.1100,29.8375,30.6405,0.3550,0.3558
1982-10,0.6931,0.6893,0.1099,0.1088,30.1820,28.6482,0.3570,0.3551
1982-11,0.7246,0.7088,0.1101,0.1091,27.6337,28.7193,0.3643,0.3594
1982-12,0.7523,0.7354,0.1106,0.1097,26.3956,30.5865,0.3740,0.3664
1983-01,0.7667,0.7706,0.1126,0.1123,29.8323,32.3622,0.3765,0.3765
1983-02,0.7791,0.7824,0.1111,0.1122,34.9978,34.5479,0.3768,0.3791
1983-03,0.8105,0.8156,0.1143,0.1149,38.4955,34.5643,0.3887,0.3898
1983-04,0.8449,0.8564,0.1166,0.1166,38.4098,35.4414,0.3972,0.3999
1983-05,0.8659,0.8791,0.1200,0.1197,40.4583,36.4277,0.4054,0.4084
1983-06,0.9086,0.9044,0.1230,0.1224,44.4222,37.9201,0.4176,0.4157
1983-07,0.9406,0.9518,0.1242,0.1276,35.2946,39.0924,0.4263,0.4345
1983-08,0.9926,1.0028,0.1268,0.1264,36.6257,41.5321,0.4277,0.4294
1983-09,1.0589,1.0548,0.1324,0.1322,41.5617,42.4647,0.4566,0.4558
1983-10,1.0840,1.0818,0.1364,0.1352,45.6813,43.2400,0.4655,0.4641
1983-11,1.1397,1.1175,0.1394,0.1382,41.4647,43.3676,0.4782,0.4722
1983-12,1.1731,1.1473,0.1403,0.1395,38.5359,44.8195,0.4873,0.4784
1984-01,1.1740,1.1830,0.1458,0.1458,44.1336,47.3209,0.4918,0.4931
1984-02,1.2111,1.2263,0.1492,0.1501,48.0104,46.6428,0.5023,0.5060
1984-03,1.2470,1.2564,0.1524,0.1535,53.1464,47.1266,0.5131,0.5156
1984-04,1.2836,1.2960,0.1579,0.1581,49.6139,45.6914,0.5242,0.5269
1984-05,1.3068,1.3321,0.1608,0.1608,49.4277,44.8466,0.5321,0.5371
1984-06,1.3692,1.3685,0.1651,0.1650,52.0832,45.1548,0.5484,0.5472
1984-07,1.3708,1.3899,0.1651,0.1693,40.7311,46.5362,0.5457,0.5567
1984-08,1.4134,1.4152,0.1725,0.1725,42.1574,47.5243,0.5633,0.5659
1984-09,1.4449,1.4226,0.1743,0.1729,44.4749,45.3816,0.5731,0.5681
1984-10,1.4605,1.4638,0.1764,0.1756,47.1000,45.0000,0.5773,0.5773
1984-11,1.5091,1.4947,0.1786,0.1769,45.1223,47.1874,0.5883,0.5830
1984-12,1.5638,1.5058,0.1781,0.1755,40.8781,48.4664,0.6006,0.5832
1985-01,1.5307,1.5450,0.1788,0.1789,47.1805,49.4880,0.5915,0.5930
1985-02,1.5208,1.5384,0.1740,0.1752,49.6421,47.6118,0.5821,0.5862
1985-03,1.5517,1.5528,0.1727,0.1736,54.1561,48.0124,0.5857,0.5863
1985-04,1.5001,1.5335,0.1655,0.1670,51.7073,47.6371,0.5644,0.5718
1985-05,1.5226,1.5406,0.1695,0.1694,51.8330,47.3123,0.5720,0.5756
1985-06,1.5822,1.5663,0.1697,0.1694,53.7278,47.1730,0.5819,0.5787
1985-07,1.5461,1.5713,0.1582,0.1621,41.7974,49.0764,0.5542,0.5653
1985-08,1.5804,1.5822,0.1619,0.1616,43.0514,48.4536,0.5642,0.5661
1985-09,1.6127,1.5882,0.1597,0.1585,47.3115,48.0979,0.5628,0.5589
1985-10,1.6097,1.6126,0.1590,0.1578,49.9307,47.8904,0.5605,0.5598
1985-11,1.6571,1.6466,0.1610,0.1587,46.6642,48.8670,0.5720,0.5660
1985-12,1.7163,1.6530,0.1629,0.1607,40.3916,47.7737,0.5840,0.5676
1986-01,1.6432,1.6553,0.1615,0.1618,48.3773,49.8425,0.5654,0.5670
1986-02,1.6349,1.6432,0.1615,0.1636,51.9598,49.3660,0.5624,0.5671
1986-03,1.6589,1.6652,0.1637,0.1649,51.8073,47.9203,0.5689,0.5709
1986-04,1.6099,1.6400,0.1677,0.1681,52.2221,46.9760,0.5685,0.5732
1986-05,1.6374,1.6658,0.1675,0.1678,50.8181,46.6006,0.5714,0.5765
1986-06,1.6741,1.6620,0.1643,0.1641,53.5975,47.6615,0.5594,0.5579
1986-07,1.6476,1.6868,0.1692,0.1741,39.3731,47.9082,0.5764,0.5909
1986-08,1.7069,1.7024,0.1792,0.1784,41.5658,47.0119,0.5976,0.5977
1986-09,1.7117,1.7052,0.1831,0.1823,48.4694,48.4753,0.6070,0.6060
1986-10,1.7207,1.7219,0.1849,0.1836,49.9235,47.3578,0.6109,0.6101
1986-11,1.7936,1.7551,0.1911,0.1879,46.0860,47.9017,0.6293,0.6180
1986-12,1.8611,1.7971,0.1967,0.1937,41.9844,49.1628,0.6531,0.6351
1987-01,1.8175,1.8346,0.1975,0.1980,48.3569,49.5846,0.6470,0.6491
1987-02,1.8929,1.8997,0.1990,0.2014,55.1026,51.9997,0.6580,0.6627
1987-03,1.9061,1.9113,0.2022,0.2032,57.0816,50.7799,0.6626,0.6644
1987-04,1.9645,2.0001,0.2048,0.2059,52.7506,50.0939,0.6704,0.6801
1987-05,2.0380,2.0662,0.2119,0.2118,53.2051,49.0432,0.6906,0.6945
1987-06,2.1424,2.1382,0.2154,0.2154,53.1419,47.9007,0.7112,0.7108
1987-07,2.1516,2.1828,0.2169,0.2213,36.7342,47.4006,0.7157,0.7278
1987-08,2.3167,2.3116,0.2243,0.2231,42.7581,47.6897,0.7492,0.7459
1987-09,2.3353,2.3664,0.2256,0.2272,49.6197,48.8047,0.7551,0.7641
1987-10,2.4001,2.4076,0.2334,0.2315,55.1758,51.8158,0.7804,0.7789
1987-11,2.5030,2.4477,0.2354,0.2317,49.8901,51.4518,0.8002,0.7862
1987-12,2.6072,2.5090,0.2392,0.2353,42.8721,50.1243,0.8280,0.8037
1988-01,2.4868,2.4934,0.2345,0.2351,48.1877,49.6930,0.8003,0.8011
1988-02,2.5105,2.5214,0.2326,0.2358,52.7160,50.2849,0.7992,0.8065
1988-03,2.5861,2.5987,0.2336,0.2353,56.6765,50.9371,0.8142,0.8182
1988-04,2.6029,2.6486,0.2352,0.2367,56.1358,53.4572,0.8216,0.8308
1988-05,2.6208,2.6601,0.2387,0.2394,58.9319,53.9601,0.8319,0.8395
1988-06,2.7160,2.7024,0.2428,0.2425,60.5485,54.4643,0.8526,0.8501
1988-07,2.7193,2.7324,0.2407,0.2452,39.1417,50.4904,0.8469,0.8581
1988-08,2.7229,2.7330,0.2487,0.2482,46.0159,51.7600,0.8649,0.8652
1988-09,2.7686,2.7602,0.2500,0.2499,54.8345,53.9260,0.8701,0.8696
1988-10,2.7985,2.8043,0.2551,0.2519,58.8692,54.4381,0.8801,0.8767
1988-11,2.8106,2.7707,0.2601,0.2558,54.4158,55.8817,0.8903,0.8773
1988-12,2.8521,2.7700,0.2626,0.2588,49.5630,56.7438,0.9018,0.8807
1989-01,2.7663,2.7838,0.2552,0.2563,55.4199,57.7570,0.8757,0.8803
1989-02,2.7501,2.7747,0.2531,0.2545,58.9430,56.9286,0.8696,0.8762
1989-03,2.7684,2.7664,0.2509,0.2528,57.5330,55.2956,0.8672,0.8712
1989-04,2.7492,2.7705,0.2575,0.2576,61.0980,55.0206,0.8766,0.8799
1989-05,2.6837,2.7264,0.2571,0.2579,57.9694,53.0544,0.8680,0.8767
1989-06,2.7197,2.7068,0.2624,0.2624,56.5177,50.7478,0.8838,0.8828
1989-07,2.7769,2.7857,0.2590,0.2634,34.8609,47.4329,0.8856,0.8966
1989-08,2.8248,2.8305,0.2699,0.2698,47.9574,51.4820,0.9123,0.9126
1989-09,2.7968,2.7927,0.2725,0.2728,52.4743,51.3317,0.9142,0.9140
1989-10,2.8334,2.8487,0.2794,0.2772,52.8243,48.6872,0.9323,0.9317
1989-11,2.8932,2.8926,0.2824,0.2786,48.3658,49.7463,0.9498,0.9409
1989-12,3.0048,2.8886,0.2849,0.2807,43.8760,50.3557,0.9756,0.9476
1990-01,2.9194,2.9638,0.2800,0.2833,38.3162,41.2249,0.9580,0.9687
1990-02,2.9068,2.9368,0.2840,0.2874,50.3741,49.2626,0.9648,0.9744
1990-03,2.9331,2.9466,0.2880,0.2914,56.7256,52.0167,0.9795,0.9866
1990-04,2.9162,2.9506,0.2870,0.2930,52.4663,50.6182,0.9707,0.9886
1990-05,2.9693,3.0161,0.2906,0.2931,57.2348,52.0833,0.9903,1.0013
1990-06,3.0597,3.0561,0.2948,0.2952,60.0619,53.4926,1.0126,1.0114
1990-07,3.0339,3.0476,0.2893,0.2948,40.1187,51.8350,1.0010,1.0146
1990-08,3.0490,3.0436,0.2964,0.2966,47.2395,51.5649,1.0161,1.0179
1990-09,3.0815,3.0375,0.3052,0.3014,53.6451,52.2198,1.0368,1.0256
1990-10,3.0766,3.0952,0.3062,0.3024,55.1468,50.1687,1.0372,1.0338
1990-11,3.0847,3.0750,0.3136,0.3063,42.2716,43.1317,1.0526,1.0367
1990-12,3.1856,3.0471,0.3179,0.3082,35.5182,41.5004,1.0755,1.0356
1991-01,2.9943,3.0075,0.3144,0.3119,40.8654,42.8417,1.0391,1.0378
1991-02,3.0353,3.0275,0.3214,0.3183,42.0041,40.1551,1.0551,1.0516
1991-03,3.0901,3.0479,0.3256,0.3217,43.5094,40.8477,1.0696,1.0598
1991-04,3.0525,3.0710,0.3268,0.3239,46.9587,42.9154,1.0667,1.0663
1991-05,3.0784,3.0732,0.3332,0.3307,50.1258,45.0037,1.0809,1.0798
1991-06,3.2306,3.1801,0.3338,0.3287,52.7420,46.8804,1.1010,1.0880
1991-07,3.1363,3.1514,0.3301,0.3341,37.3472,49.9338,1.0821,1.0944
1991-08,3.1431,3.1556,0.3363,0.3373,44.2400,46.3327,1.0998,1.1051
1991-09,3.2084,3.1845,0.3359,0.3360,51.2419,50.5268,1.1074,1.1056
1991-10,3.1115,3.1705,0.3366,0.3401,55.2146,49.8727,1.0999,1.1110
1991-11,3.1355,3.1960,0.3387,0.3426,47.8587,48.9693,1.1158,1.1224
1991-12,3.3924,3.3433,0.3411,0.3485,40.6933,48.5218,1.1568,1.1523
1992-01,3.2927,3.4041,0.3401,0.3592,42.9509,44.4166,1.1412,1.1829
1992-02,3.2474,3.4823,0.3532,0.3629,51.4717,48.0956,1.1556,1.1954
1992-03,3.3229,3.6060,0.4040,0.3675,55.4296,49.7872,1.2492,1.2211
1992-04,3.4719,3.7478,0.3756,0.3725,54.7082,51.0666,1.2235,1.2525
1992-05,3.6100,3.8605,0.3620,0.3777,58.9779,53.4031,1.2255,1.2761
1992-06,3.6862,3.9179,0.4137,0.3903,57.5678,52.1514,1.3232,1.3089
1992-07,3.7708,3.9503,0.3823,0.3998,39.3693,54.8009,1.2825,1.3320
1992-08,3.9769,4.0076,0.3732,0.4037,50.6041,53.2025,1.2953,1.3440
1992-09,4.3465,4.1170,0.4344,0.4115,52.1206,52.4010,1.4263,1.3720
1992-10,4.7369,4.2546,0.4115,0.4232,58.1051,53.8571,1.4446,1.4178
1992-11,4.9344,4.3811,0.4364,0.4323,52.2817,53.9830,1.5150,1.4496
1992-12,4.8070,4.4742,0.4470,0.4328,48.8958,55.3177,1.5273,1.4570
1993-01,4.4921,4.5565,0.3757,0.4288,54.4245,56.4590,1.3720,1.4636
1993-02,4.2454,4.6518,0.4182,0.4334,60.2851,56.0047,1.4227,1.4841
1993-03,4.2376,4.7710,0.4765,0.4375,63.1504,56.6675,1.5204,1.5020
1993-04,4.4049,4.8712,0.4304,0.4391,60.9875,57.0313,1.4565,1.5167
1993-05,4.5588,4.8859,0.4220,0.4440,62.5889,57.1659,1.4589,1.5272
1993-06,4.5640,4.7948,0.4887,0.4523,62.0960,56.7079,1.5773,1.5366
1993-07,4.5438,4.6884,0.4332,0.4545,39.2987,55.1604,1.4850,1.5400
1993-08,4.7159,4.6913,0.4326,0.4599,51.6110,54.0559,1.5112,1.5552
